question,answer,srno
Schedule of settlement of cheque with treasury/branch means,list of che issued but not yet realised.,02:
schedule of rates is revised at least once in----years,two years.,03:
Material returned to store or transferred to other works should be priced as per____rate,Market Rate,04:
Major Head (code) for departmental cash balance is,DCB-8671,05:
Petty works means works involving expenditure uoto,10000,06:
"An amount of rs. 20 is unclaimed for two financial years, will it be taken to civil deposit, if yes why and no then why","Yes. If amount unclaimed is up to Rs. 25, then 1 complete Financial year and above 25 it shall be unclaimed for 3 complete Financial year. Head 8443.",07:
suspense and deposit are the part of ____account,public account. MPWA is a suspense head for advance and not for deposit.,08:
income tax deducted by CPWD and PWD will be credited to _____ and___ respectively.,0021 and 8658(TDS suspense ),09:
ceiling of imprest advance is ____,5000,10:
Maximum ________%age of value of work or supply due to a contractor si deducted as SECURITY DEPOSIT is,Answer 10%,11:
Technical sanction for PWD works is the responsibility of the………?,PWD department,12:
General administration of all stores of a division is vested to___,Div Off,13:
Good received sheet is prepared in___copies,triplicate,14:
Acknowledgement if stores supplied by the supplier is given___,DO/SDO,15:
Muster rolls are prepared in ____copies,single copy,16:
Sub-heads in works abstract are guided by _____,estimate of works.,17:
Additional charges for materials issued to contractors/direct to work is a _____ accounts,final account,18:
"True or false; When the surplus material is returned to store , the cost of carriage is borne by contingency","False, borne by the work concerned",19:
Recoveries from contractor in behalf of other division shall be credited to ____,8443,20:
Settlement of Accounts with bank is prepared in form ___,cpwa 51,21:
Loss on account of exchange rate pertaining to capital division shall be debited ____,capital outlay of work.In case of revenue its 2075.,22:
The form used for refund of lapsed deposit,GAR 46,23:
"In PWD building division, refund of lapse deposit shall be accounted as State the debit/credit entry with major head","minus credit/deduct refund ( minor head 900), major head 0059",24:
Contribution to CGHS is credited/debited to ____(major head),credited to 0210,25:
No LoC shall be issued after ____,15 th March,26:
state true or false; Muster Rolls of a division shall be submitted to PAO with monthly accounts only when amount on this accounts exceeds Rs,False. Muster rolls irrespective of amount are not to be submitted.,27:
Classified abstract of expenditure is prepared in Form ____,CPWA 74,28:
Expenditure on account of examination of soil shall be charged to _____,outlays of work,29:
Item 8(b) of running account bill pertains to ____,"deduction creditable to other heads such as IT, VAT etc.",30:
Detail head means,sub scheme,31:
Classification of Govt,Functions,32:
Liabilities in PWD means,All anticipated charges,33:
A government transaction consists of ___ digits,15 (chandrashekar explained ),34:
Lump sum advance given to the family of a deceased shall be debited ____ (head),8550 Civil Advances,35:
Cash Assignment Number to a Division is assigned by _____,Chief Accounting Officer,36:
State true or false; Divisional accountant is responsible to see that accounts of the division do not fall into arrears,False. It is Divisional Off,37:
An objection entered in CPWA 60 shall not be treated as settled unless the same is reviewed by _____,PAO,38:
Re-appropriation means transfer of fund from ____ to another ____,One primary unit to another primary unit.,39:
In which part of the govt,Public Accounts,40:
Maximum percentage of budget grant issued between Apr and Sep,0.8,41:
LoC ret received by the PAO shall be submitted to Hqrs within _____,7 days,42:
The classes of store in a PWD are ____,Four,43:
Completed bin card shall be ____,Returned to Division,44:
Physical verification of all store shall be done at least once in a _____,Year,45:
Transfer entry order is prepared in form,CAM 34/CPWA 53,46:
MB and Register of MB?,CPWA 23 & 92,47:
Transfer entry order is prepared in____ copies,"Triplicate (one to PAO, second to TEO register and third in suspense register)",48:
The licensee should pay the license fee within _____days of _____month,Before expiry of the following month.,49:
The licensee fee should be revised once in ______,Three years.,50:
Wages to labourer borne on Muster roll is charged to ___,Work concerned,51:
Labour report for labourer employed on Muster Roll is prepared in form,CPWA 30,52:
Labour report for labour on Muster roll is not require to be sent when the number of labourer is ____,15 or less,53:
"Before payment, checking of muster roll with reference to MB is done by ____ to the extent ____(in %)","Div Accountant, 100%",54:
Register of Measurement book is maintained in form,CPWA 92,55:
The MB used as Standard MB should be numbered in ___(numeric/alphabetical),Alphabetical series,56:
The entry recorded in each completed MB may be subjected to percentage check by _____,DA,57:
Payment to supplier for supply of store on production of railway receipt shall be treated as,Advance Payment,58:
Payment to supplier on production of railway receipt shall be made with the approval of ___,Adm Min/Deptt. concerned,59:
Payment for work done or supply made on running account shall ordinarily be made _____(daily/weekly,Monthly.,60:
transaction connected with each manufacture must be kept in a suspense register called,Manufacture Account CPWA 42( Job Card ),61:
Form of final bill payment shall be printed in ______ colour,Yellow,62:
"Establishment of PW workshops, plant and machinery and their maintainence shall be debited to",Minor head equipment and machinery under major head 2059.,63:
The cost at which transfer of buildings and super structure from one deptt of govt to another is made,Present day cost minus depreciation,64:
Work of construction or repair the cost of which is not met out of govt fund is called,Deposit Work,65:
The minor head of MPSSA is,129 major head 8658,66:
Who is responsible for explaining personally the defect of procedure and imparting necessary instruction to sub divisional officer and staffs,DA,67:
"All defalcation or loss of public money, store or other properties should immediately be reported to",Chief Controller of Acct,68:
Responsible to ensure that at no time the expenditure exceeds the amount of LoC,Paying Branch,69:
Cash found surplus or deficient should be immediately be credited or debited from account- true/false,"False. Surplus at once, deficient first put into MWA",70:
Cash taken out of chest by disbursing officer himself to make payment at distance shall be adjusted within _____days,Within a month,71:
Tools and plant bought for genera use shall be debited to _____(head),2059 ( work 4059),72:
Which copies of indent CPWA 7 are sent to Divisional office,Third and Fourth,73:
Good Received Sheet form CPWA 13 for tool and plant should be prepared in ___ copies,Triplicate,74:
"In case of a department not having a corresponding head of receipt to credit amount or error or otherwise, the amount should be credited to ____(head)",0075 Misc. General Services,75:
"Where license fee is recoverable in cash from Govt servant, the DO should obtain a certified statement in form _____ in _____copies from ______(source)","CPWA 48, raised in triplicate, 2 copies to downgrading office and received one copy back from disgusting officer.",76:
the two classes to which expenditure on construction or maintenance of work may be divided into,Cash and Stock,77:
Labourer Report in CPWA 30 should be submitted to DO on a _____ basis,Daily basis,78:
"The daily attendance, absence and fine inflicted on Labour should be recorded in part _____ of MR",Part I,79:
Who should declare in writing in Standard MB itself as finally approved for preparation of annual repair and contractor bill for work done,DO,80:
When a final payment is made on running account who should certified that the payment is full and final settlement of all demands,Contractor,81:
Secured advance may be granted to the contractor whose contract is ______ (type of contract),Completed item of work/finished rate,82:
