question,answer,srno
"All incidental and other expenditure including expenditure on stores incurred for management of an office, but not include expenditure specifically classified under some other head of expenditure such as works, tools and plant are termed as____","Contingent expenditure (given in DFPR, 1978)",01:
"Head of department means an authority specified in ______ in relation to offices under his administrative control and includes such other authority as department by order, specify as head of department and minimum status of such authority should ____","Schedule 1 of DFPR, 1978, not to be below the rank of deputy secretary.",02:
Head of Office has been defined in______,"Rule 14 of DFPR, 1978",03:
Sanction to _______ remain operative even in succeeding years provided funds are made available in those years and also subject to terms of sanction.,Recurring expenditure,04:
No re-appropriation to augment travel expenses but increase upto ____% allowed by secretaries by re-appropriation,"10%. No re-appropriation from charged to voted and vice versa, revenue to capital and vice versa, one grant to another, from secret service fund to other charges including salaries, wages, office expenses etc, on new service not approved in budget (DFPR)",05:
Authority competent to create posts either permanent or temporary cannot create so now as ban on creation of posts exists-True/False,True. An authority competent to create post can also abolish such posts.,06:
"Specified powers of  departments of central govt and heads of departments in relation  to creation of permanent posts, temporary posts, appropriation and re-appropriation, incurring of miscellaneous and contingent expenditure and write off of losses are given in Schedule______","Schedule I to VII of DFPR, 1978.",07:
"Department may confer powers, not exceeding those vested in them to head of department or any other subordinate authority in respect of any matter covered under rules of DFPR except_____",(i) creation of posts. (ii) write-off of losses (iii) re-appropriation of funds exceeding 10% of original budget  provision,08:
"Where a HoD delegates his all or any of his powers to his sub-ordinate,_____ shall continue to be responsible  for correctness, regularity and propriety of decisions taken by that officer",HoD himself.,09:
__________is head of office in secretariat,Under secretary in charge of administration,10:
No insurance for govt. property either movable or immovable shall be made and hence no expenditure on insurance is to be made by a Govt. Department-True/False,"True (DFPR, 1978). Additional risk rate for freights but not insurance. However, Motor vehicle connected to commercial purpose need to be insured. Accordingly, property received on loan shall also be insured if terms and conditions of such loan provide so.",11:
Which rule provides powers to head of office to authorise any other gazetted officer under  him to exercise powers to incur contingent and miscellaneous expenditure subject to restrictions and limitations?,"Rule 16 of DFPR, 1978.",12:
"Schedule of DFPR, 1978 that deals with power to incur contingent expenditures by a Head of Office is____",Schedule V. â‚¹ 2000/- per month each case (Recurring) and â‚¹ 5000/- per month each case (non-recurring),13:
Estimates of receipts of external aid is prepared by_____,Controller of Aid Accounts and Audit (Ministry of Finance). Estimate of receipt of Central taxes and duties by CBDT and CBEC. Estimate pertaining to other receipt by CGA.,14:
Estimates of revenue receipts of UT administration is prepared by______,In case of Departmentalised system of Accounts-CGA and In case of non-Departmentalised system of Accounts-Audit/Accounts Officer (CAG),15:
Estimates to be furnished to finance ministry by _____,31st December,16:
