question,answer,srno
Government Account” means the account relating to the ______,"The Consolidated Fund, the Contingency Fund and the Public Account",02:
Head of Office means (a) a Gazetted Officer declared as such in the _____,Delegation of Financial Powers Rules,03:
"Appropriation means the _________(allocation/allotment/assignment), to meet specified expenditure, of funds included in a primary unit of appropriation",Assignment,04:
Administrator means______(HoD/Secretary/President/Administrator of a Union Territory),Administrator of a Union Territory,05:
"The model under which the buyer to straightway purchase goods followed by procurement of consumables, arranging comprehensive maintenance contact after warranty period and finally disposing the product after useful life",Capex Model,06:
"The model under which the Seller provides the goods, maintains it and also provides the consumables as required and finally takes back the goods after useful/contracted life.  The expenditure is made by the Buyer in a staggered manner",Opex Model,07:
"Accounts showing under the respective heads the annual receipts and disbursements for the purpose of Union, of each State and of each Union Territory having a Legislative Assembly (including Appropriation Accounts) are to be prepared every year by______",The authorities authorised to maintain the accounts,08:
The Annual Accounts of the Union are certified by the CAG whereas certification of the Annual Accounts of the States and UTs are done_____,CAG,09:
"When the subject of a case concerns more than one Department, no order shall be issued until all such Departments have concurred, or, failing such concurrence, a decision has been taken by or under the authority of the _______",Cabinet.,10:
"All Departmental regulations, in so far as they embody orders or instructions of a financial character or have important financial bearing, must invariably be made by, or with the approval of the ______",Ministry of Finance,11:
The systems and procedures established by GFRs may be modified by any other authority only with the express approval of the ______,Ministry of Finance.,12:
Primary unit of appropriation has been referred to in _______,the Delegation of Financial Power (Rule 8),13:
A Department/Ministry of the Central Government is not a subordinate authority-True/False,False. Department/Ministry or any officer sub-ordinate to President is a sub-ordinate authority.,14:
"Where amounts due to Government appear to be irrecoverable, their adjustment shall be made by____",By obtaining the orders of the competent authority.,15:
An Administrator or a Head of a Department responsible for the collection of revenue shall keep the __________ fully informed of the progress of collection of revenue under his control and of all important variations in such collections as compared with the ______,"Finance Ministry, Budget Estimates",16:
"When the maintenance of any rentable building is entrusted to a civil department, other than the CPWD, _________ shall be responsible for the due recovery of the rent thereof",the Administrator or the Head of the Department concerned,17:
"The detailed rules and procedure, regarding the demand and recovery of rent of Government buildings and lands, are contained in the ________",departmental regulations of the departments in charge of those building,18:
The transaction pertaining to Public Accounts and its custody is referred to in Article____,284,19:
"All moneys received by or deposited with any officer employed in connection with the affairs of the Union in his capacity as such, other than revenues or public moneys raised or received by Government, shall be paid into ____",The Public Account,20:
"All moneys received by or deposited with the Supreme Court of India or with any other Court, other than a High Court, within a Union Territory, shall be paid into___","The Public Account. In case of High Court, it will be paid into Public Account of concerned State.",21:
Form GAR 6 pertains to____,Receipt of Government due.,22:
The procedure for the assessment and recovery of rent of any building hired out will be regulated generally by the rules applicable to buildings under the direct charge of the _____,Central Public Works Department,23:
Each Accounts Officer will send an extract from his accounts showing the amounts brought to credit in the accounts _____ to the ______,"Monthly, Controlling Officer concerned",24:
Standards of Financial Propriety has been mentioned in Rule___ of GFR 2017,Rule 21,25:
"The financial powers of the Government, which have not been delegated to a subordinate authority, shall vest in the ______",Finance Ministry,26:
All draft memoranda for Expenditure Finance Committee or Public Investment Bureau or Committee on Establishment Expenditure and Cabinet Committee for Economic Affairs or Cabinet shall be circulated by the Ministry or Department concerned after consultation with the _____,concerned Financial Adviser of the of the Ministry/Department,27:
"Statements showing the remissions of revenue and abandonment of claims to revenue sanctioned during the preceding year by competent authorities in exercise of the discretionary powers vested in them shall be submitted ____ by the Government Departments of the Central Government, Administrators and Heads of Departments to _____","Annually (1st June), Audit and Accounts Officer concerned.",28:
Individual remissions below Rupees _____ need not be included in the statements,Rupees one thousand (1000),29:
Which department is exempted to submit Statements to its Audit and Accounts Officer showing the remissions of revenue and abandonment of claims to revenue sanctioned during the preceding year by competent authorities?,Department of Post.,30:
________may make rules defining remissions and abandonments of revenue.,Departments of the Central Government and Administrators,31:
Which rule of GFR 2017 deals with Responsibility of Controlling Officer in respect of Budget allocation?,Rule 26,32:
The duties and responsibilities of a controlling officer in respect of funds placed at his disposal are to ensure four points____,"(i) that the expenditure does not exceed the budget allocation. ; (ii) that the expenditure is incurred for the purpose for which funds have been provided. ; (iii) that the expenditure is incurred in public interest. ; (iv) that adequate control mechanism is functioning in his Department for prevention, detection of errors and irregularities in the financial proceedings of his subordinate offices and to guard against waste and loss of public money",33:
"A subordinate authority shall not, without the previous consent of the ______ issue an order which involves any grant of land, or assignment of revenue, or concession, grant, lease or licence of mineral or forest rights, or rights to water, power or any easement or privilege of such concessions, or  involves relinquishment of revenue in any way",Finance Ministry,34:
All financial sanctions and orders issued by a competent authority shall be communicated to the ___.,Audit Officer and the Accounts Officer,35:
Copies of all General Financial Orders issued by a Department of the Central Government with the concurrence of the CAG shall be supplied to_____,the CAG,36:
Sanctions of contingent expenditure incurred under the powers of Head of Offices shall be communicated to Audit and Accounts Officer-True/False,"False. Other sanctions which need not be communicated to the Audit and Accounts Officer; (a) Sanctions relating to grant to advances to Central Government employees. ; (b) Sanctions relating to appointment or promotion or transfer of Gazetted and non-Gazetted Officers. ; (c) All sanctions relating to creation or continuation or abolition of posts. ; (d) Sanctions for handing over charge and taking over charge, etc. ; (e) Sanctions relating to payment or withdrawal of General Provident Fund advances to Government servants.; (f) Other sanctions of routine nature issued by Heads of Subordinate Officers (other than those issued by Ministries or Departments proper and under powers of a Head of Department)",37:
