question,answer,srno
Appropriation Accounts so prepared by the C&AG is compared with _____,The accounts of voted grants and charged appropriations for the different purposes as specified in the schedules appended to the Appropriation Acts passed by the legislature,02:
The responsibility of the C&AG is extended to grants/appropriations even in respect of which the accounts are not maintained by the Indian Audit and Accounts Department-True/False,False. It is confined to grants/appropriations in respect of which the accounts are maintained by the IA&AD.,03:
The compilation of accounts of the Union and of each State was provisioned under____,Section 10 of the DPC Act 1971,04:
The compilation of accounts of the Union and of each State is done from the initial and subsidiary accounts rendered to the Audit and the Accounts Offices by____,"Treasuries, offices or departments under his control by responsible for the keeping of such accounts.",05:
Appropriation Accounts indicates the _____ (gross/net) expenditure against each grant,Gross (Excluding deductions and recoveries),06:
Finance Accounts shows _____ (gross/net) expenditure under different heads.,Net expenditure after taking into account deduction and recoveries. Due to this there is variation between the figures in the Finance Accounts an Appropriation Accounts.,07:
There are____ parts of an Appropriation Accounts.,Three. Part I- Summary of Appropriation Accounts & Audit Certificate of CAG; Part II- Detailed Appropriation Accounts and Part III- Appendices.,08:
The audit certificate of the CAG is recorded in which part of the Appropriation Accounts?,Part I (below the Summary of Appropriation Accounts),09:
________(part of Appropriation Accounts) shows the total amounts of funds (original and supplementary) provided by the legislature under each voted grants and charges appropriation separately for Revenue and Capital and actual expenditure incurred against each grant.,Part I- Summary of Appropriation Accounts,10:
The Summary of Appropriation Accounts is followed by the grand total of the amount of Grant/Appropriation under revenue and capital and against voted grant and charged appropriation-True/False,TRUE,11:
The Summary of Appropriation Accounts is concluded with a reconciliation statement of expenditure indicated in Appropriation Accounts with those indicated_______,Finance Accounts,12:
The three elements that should be provisioned in the Appendix I to Summary of Appropriation Accounts are____,(i) the expenditure met out of advances from the Contingency Fund which were not recouped to the Fund before the close of the year by authorisation of the Legislature. ; (ii) reconciliation of the total expenditure according to Appropriation Accounts with that shown in the Finance Accounts after taking into account recoveries of expenditure  ; (iii)  drawing attention to cases of excesses over grants/appropriations requiring regularisation.,13:
