question,answer,srno
"Receipt and Payments rules have been cleared by the CAG, by the Reserve Bank of India in so far as rules having an impact on banks and banking procedures are concerned, and vetted by the___",Ministry of Law (Legislative Department),02:
Receipt and Payments rules have come into force w.e.f ______,1st June 1983,03:
Receipt and Payment Rules have been made ______in exercise of the powers conferred by ___,"The President, Article 283(1)",04:
"Receipt and Payment Rules shall apply to all transactions, other than payment of pensionary benefits, pertaining to the _______",Central Government and the Union territories of Delhi and Andaman and Nicobar Islands,05:
Any treasury or sub-treasury not being a treasury or sub-treasury under control of a State Government is called______,Central Treasury,06:
Consolidated Fund of India has been referred to in_____,Article 266 (1),07:
Contingency Fund of India established under the _________ in pursuance of Article____,"Contingency Fund of India Act, 1950 (49 of 1950), 267 (1)",08:
CGA is located in_,Ministry of Finance (Department of Expenditure),09:
"Responsible for establishing and maintaining a technically sound payment-cum-accounting system in the departmentalised accounts offices and for prescribing the rules for regulating the custody, payment into and withdrawal of money from the Government Account is____",CGA,10:
Departmental officer means_____,an officer of the Government authorised to handle Government money,11:
Article 266 (2) of the Constitution deals with______,Public Account,12:
"The balances in small coin depots, rupee coins, balances in mint and cash balances held in Post Offices or other departmental offices are _____(reckoned/not reckoned) as part of the General Cash balance of the Government","Not reckoned. It means otherwise that balances held in treasuries, sub-treasuries, reserve fund and RBI will be the part of General Cash Balance of the Government.",13:
Treasuries in Union territories are ______,Central treasuries,14:
The Officers in charge of Military Treasure Chests and such offices of the Posts and Telegraphs Department as are authorised to perform all or any prescribed part of the duties of a Treasury Officer shall have to observe the relevant provisions of the_____ (Departmental regulation/Treasury Rule),Treasury Rules of the Central Government,15:
All moneys received by or tendered to Government officers on account of revenues or receipts or dues of the Government shall be paid in full into the accredited bank_____,Without undue delay,16:
Moneys received on account of revenues or receipts or dues of the Government shall not be utilised to meet departmental expenditure under any circumstances-True/False,False. It is permitted to certain department with some conditions.,17:
The department authorised to utilise department receipt on account of diet-money of witness towards departmental expense___,Income Tax Department/Officer,18:
Moneys received or tendered on account of the revenues of the Government may be deposited with a bank other than the Reserve Bank or its agent for the purpose of Government transactions subject to approval by____ in with consultation with the ____,"Government as a special case, CAG",19:
A Government officer may deposit moneys withdrawn from the Government Account in a bank account other than that with the accredited bank under the special sanction of____,Government,20:
"In case of civil Ministries or Departments, Government Account or assignment accounts shall be opened under orders issued by the ______ in consultation with the_____","The Financial Adviser of the Ministry or Department concerned, the CGA",21:
In case of Central PWD assignment account is open under approval of_____,The Controller General Account (CCA). This procedure is deemed to be approved by the CGA.,22:
______shall obtain sufficient information as to the nature (classification) of every payment he is making,Accounts Officer or CDDO,23:
"If a cheque drawing D.D.O. receives information from the Accounts Officer that moneys have been incorrectly withdrawn and that a certain slim should be recovered in respect of any bill passed by him, he shall effect the recovery without delay and without regard to any correspondence undertaken-True/False",True.,24:
________ shall be responsible for such funds until an account of them has been rendered to the satisfaction of the Accounts Officer concerned,A Government officer supplied with funds for said expenditure,25:
"If a Government officer supplied with funds for expenditure and if any doubt arises as to the identity of the Government officer by whom an account of such funds shall be rendered, it shall be decided by the ______",Government,26:
