question,option_a,option_b,option_c,option_d,answer,hint,srno
Departmental classified abstract is,collection of monthly transaction as whole relating to each civil department,collection of monthly transaction as whole relating to a major head of account coextensive with any particular department,collection of monthly transaction as whole relating to each civil department or a major head of account coextensive with any particular department,collection of monthly transaction as whole relating to each civil department or a major head of account not coextensive with any particular department,D ,,1.
Departmental classified abstract is prepared by,Concerned treasury,State Treasury,Accountant General,State Government,C ,,2.
Departmental classified abstracts should be maintained,Separate Departmental classified abstracts should be maintained for 'State' and UT' transactions,separate classified abstracts in respect of transactions on account of Central Pension occurred in the State/UT,Both A&B,None of the given,C ,,3.
Pick the correct,One Departmental Classified Abstract should ordinarily be maintained for each department or major head of account,"In the case of small departments or major heads under which the transactions are few, the transactions of two or more such departments or major heads, may be recorded in a single classified abstract at the discretion of State Government",Both A&B,None of the above,A ,,4.
Classified Abstracts,"are maintained separately for major heads relating to Debt, Deposit & Remittance","are not to be maintained separately for major heads relating to Debt, Deposit & Remittance","may or may not to be maintained separately for major heads relating to Debt, Deposit & Remittance as directed by the State Government","may or may not to be maintained separately for major heads relating to Debt, Deposit & Remittance as directed by the Accountant General.",B ,,5.
Transaction pertaining to DDR appearing in the Treasury Cash Accounts and List of Payments and in the Departmental and other abstracts shall be collected for the whole circle of account in,Abstract book,Detail book,Loan book,Suspense Book,B ,,6.
Recording in the Detail Book is made,Department wise,Treasury wise,Major head of account wise,All of the above,C ,,7.
Departmental Classified Abstract consists,four parts,five parts,six parts,seven parts,D ,,8.
Parts of Departmental Classified Abstract consists i. Details of Revenue and Details of Expenditure ii. Details of DDR receipt brought into accounts and Details of DDR disbursement brought into accounts iii. Details of recoveries from Payment vouchers iv. A proof side for receipt side and a proof side for expenditure side v. Details of lapsed deposit,"i, ii, iii and iv","ii, iii, iv and v","i, ii, iv and v",All of the above,A ,,9.
"Pick the correct regarding the Departmental Classified Abstract (i). A vertical column should be provided, in the prescribed order, for each detailed head opened under the major and minor heads relating to the abstract and a number of columns in their proper places for the total receipts of a treasury, etc., under each minor head (ii). In abstracts where transactions under more than one major head are included, there will be columns for major head totals also. (iii). Horizontally, a line should be provided in the abstract for each treasury (iv). There should be as many lines as the AG may deem necessary for entering receipts transferred through suspense slips from the Settlement Account and the abstracts of other Departments v. Finally a line for transfers adjusted through the Combined Transfer Ledger","i, ii, iii and iv","ii, iii, iv and v","i, ii, iv and v",All of the above.,D ,,10.
It helps to ensure that details of receipt and payment agree with the aggregate of the certified total of the treasury schedules of receipts and payments and of the suspense lips representing items transferred from other sections,Broadsheet,Proof Sheet,Trial Sheet,Detail Sheet,B ,,11.
Pick the incorrect one,"On receipt of the schedule and vouchers in the compilation group of the Treasury/Departmental Audit Sections, the Departmental Auditor, should compare the vouchers with the schedules, ascertain that none are missing and arrange them in the order money value",He should then proceed with the Compilation work and posting of the Departmental Classified Abstract.,"After the compilation for either schedule of payment is over, the Vouchers should be transferred to the Audit Group of the Treasury Departmental Audit Sections, Gazetted Audit Sections and other Audit Sections for audit.",None of the given,A ,,12.
"In the case of heads of account where the transactions are limited and such direct posting is not attended with any risk or inconvenience, direct posting of the Consolidated Abstract without the intervention of Departmental Classified Abstracts may be allowed by",The Accounts Officer/Sr. Accounts officer in consultation with the Group Officer.,The Group Officer in consultation with the Accountant General,The Accountant General at his discretion,The Accountant General in with consultation of the CAG,C ,,13.
The amount of payments relating to each detailed head with the numbers of the vouchers pertaining thereto should be entered in a Compilation (not standardised) separately for each schedule except,Interest Head,Refund Head,Remittance Head,All of the above,B ,,14.
Pick the correct one,"The gross, and not the net amount of the voucher should be taken as the amount of the payment relating to the head concerned, even though certain charges on the voucher may have been placed under objection",when a recovery relating to an overpayment is made by short payment of an item debitable to the same detailed head the net amount should be taken,Both A&B,None of the given,C,,15.
To facilitate posting a guide letter or number or symbol may be assigned to,each major head under Sector,each minor head under major head,each detailed head under minor head,All of the above,C ,,16.
Deductions shown in payment vouchers as have not been initially credited by transfer to the receipt heads concerned in the treasury accounts should be recorded in,Part II Departmental Classified Abstract,Part III Departmental Classified Abstract,Part IV Departmental Classified Abstract,Part VII Departmental Classified Abstract,B ,,17.
Recoveries should not be treated as deduction,Recoveries which are creditable to any of the detailed heads under the major head to which the payments on a voucher relate,"Recoveries which are creditable to another major head, the Departmental Classified Abstract in respect of which is not separately maintained from the major head to which the payment on the voucher relates",Both A&B,None of the above,C ,,18.
"Deduction shown in payment vouchers for subscriptions to Provident Funds, which have not been accounted for as receipts in treasury accounts should be recorded in an appendix in",AC I,AC II,AC III,AC IV,A ,,19.
The appendix with a certificate to the effect that the totals agree with the credits in the departmental abstract should then be passed on the,Book Section,Fund Section,Treasury Section,Audit Section,B ,,20.
Parts in which Appendix is sent to Fund Section,Four,Three,One,Two,D ,,21.
Parts in which Appendix is sent to Fund Section,the portion relating to the first schedule of payments being sent with a certificate of agreement after the compilation of the vouchers of that schedule,"the portion relating to the second schedule into which the total deductions of the first part also should be brought in order to give the monthly total, after completion of the departmental accounts.",Both A&B,None of the above,C ,,22.
Total of compilation book should agree,"deduction from the first schedule of payment the aggregate amount shown as deduction from vouchers for credit in Part three (3) to Provident Funds, etc.",deducting to the result the amount of payments on account of refunds of revenue,Both A&B,None of the above,A ,,23.
