question,option_a,option_b,option_c,option_d,answer,hint,srno
Pick the Incorrect one,The be the Chief Accounting Authority of Min/Dept. concerned is the secretary of the Ministry/Department,The Head of Accounting Organisation in the civil Min/Dept. is Pr. CCA/CCA/CA,"Responsible to prepare budget estimates, revised estimates etc. and their subsequent transmission to the budget division in the Ministry of Finance is CGA",None of the given,C ,,1.
Any addition to the list of cheque drawing DDOs included in the Scheme of Departmentalisation of Accounts of a Min/Dept. is however required to have the specific approval of,CGA,CCA,Financial Advisor,President on the advice of the CAG,A ,,2.
All receipts of the Min/Dept. shall also be finally accounted for in the books of the,Pr. Accts Officer,Pay & Accounts Officer,Chief Controller of Accounts,Accountant General,B ,,3.
"Under the departmentalized accounting system, the receipts and payments of each Min/Dept. of the GoI are handled by the RBI or the Public/Private Sector Bank/s nominated for the particular Min/Dept. by the",CGA on the advice of the CAG,CAG on the advice of the CGA,CGA on the advice of the RBI,RBI on the advice of the CGA,D ,,4.
The Section of the RBI that opens a bank account for Min/Dept. is,"Department of Government and Bank Account (Central Office), New Delhi","Department of Government and Bank Account (Central Office), Mumbai","Central Accounts Section, Nagpur","Government Accounts Department (Central Office), Nasik",B ,,5.
"In favour of any newly constituted PAO or the CDDO, as long as the account is to be opened in the accredited bank without any change involved in Focal Point Branch, the RBI, Department of Govt. and Bank Account (Central Office) Mumbai may be approached by",CGA,Pr. CCA/CCA,Financial Advisor,Any of the above,B ,,6.
Pick the correct one,"The Principal Accounts Officer will obtain supply of cheque books required for use by the PAOs from the Central Stamp Store, ISP, Nasik Road",The Principal Accounts Officer will obtain supply of cheque books required for use by the PAOs from the accredited bank concerned wherever so authorized by the CGA,Both A&B,None of the given,C ,,7.
"Where a Senior Most Asst/Jr. Accountant has been authorised to sign cheques for the specified period of the absence of the P.A.O, the PAO on his return will verify the bill passed or cheque drawn and renders a certificate to this effect to",Accountant General concerned,Pr. Account Officer,CGA,"CAS, RBI, Nagpur",B ,,8.
"When advice is issued to CAS, RBI for payment of loan and grants to State Govt. by the Pr. AO of Min/Dept., the head operated upon is",Dr. Final Head Cr 8658-Suspense RBI,"Dr. 8658-Suspense RBI, Cr. Final Head","Dr. 8658-Suspense RBI, Cr. 8675-RBI Deposit","Dr. 8675-RBI Deposit, Cr. 8658-Suspense RBI",A ,,9.
"All advices for payments of the type through issue of advices to CAS, RBI should be entered in a register in form",CAM 17,CAM 17A,CAM 65,CAM 65A,C ,,10.
"A separate proforma account called ""Departmentalised Ministries' Account in the General Ledger shall be maintained by",CGA,IA&AD,Link Cell of Public Sector bank,"CAS, RBI, Nagpur",D ,,11.
"The CAS, RBI, Nagpur shall furnish Min/Dept.-wise balance for each month to the",CGA,concerned Pr. CCA/CCA/CA,CAG,concerned Pay & Accounts Office,B ,,12.
