question,option_a,option_b,option_c,option_d,answer,hint,srno
"All work of Irrigation, Navigation, Embankment, Drainage and Water Storage are primarily classified into",two sections,three sections,five sections,four sections,A ,,1.
Water Storage Works is included in,Drainage Works,Navigation Works,Irrigations Works,Embankment Works,C ,,2.
"The section that includes receipts and charges relating to water ways, navigable canals, embankments and other agricultural and drainage works undertaken primarily not for irrigation purposes but for general improvement of the country or for general administrative purposes",Irrigation Works,"Navigation, Embankment and Drainage Works",Both A&B,Either A or B,B ,,3.
"All work of Irrigation, Navigation, Embankment, Drainage and Water Storage are classified further into",Government Works and Non-Government Works,Permanent Works and Temporary Works,Major Work and Minor Works,Productive Works and Unproductive Works,D ,,4.
"An Irrigation, Navigation, Embankment, Drainage and Water Storage is said to be productive",When project is capable of repaying the annual interest on capital invested within ten years after the probable date of its completion,When project is capable of recovering cost of capital invested within ten years after the probable date of its completion.,When project is capable of repaying the annual interest on capital invested within fifteen years after the probable date of its completion,When project is capable of recovering cost of capital invested within fifteen years after the probable date of its completion,A ,,5.
Capital invested includes,direct charges,indirect charges,all arrears of simple interest,All of the above,D ,,6.
Arrears of simple interest means,anticipated excess of revenue over similar interest.,balance of total interest over total net revenue.,anticipated excess of expenditure over sanctioned estimate of capital outlay,None of the above,B ,,7.
Pick the correct one,"Betterment Levy is taken in reduction of indirect capital expenditure in the Financial Forecasts, Administrative Accounts",Betterment Levy is etc. although it is treated as indirect receipt for the purpose of proforma account of the project,Neither of the above,both of the above,C ,,8.
Every work classified as either Productive or Unproductive will retain its classification unchanged during the,"eleventh, twelfth and thirteenth years after the closure of its construction estimate.",eleventh and twelfth years after the closure of its construction estimate,eleventh to fourteenth years after the closure of its construction estimate.,eleventh to fifteenth years after the closure of its construction estimate,A ,,9.
Pick the correct one,"If any irrigation, navigation, embankment or drainage work (commercial) which is classified as productive fail at any time after the expiry of ten years, from the date of the closure of its construction estimate, in five successive years to yield the relevant return prescribed should be transferred to unproductive class.","If any irrigation, navigation, embankment or drainage work (commercial) which is classified as productive fail at any time after the expiry of ten years, from the date of the closure of its construction estimate, in five years out of next ten years whether successive or not to yield the relevant return prescribed should be transferred to unproductive class","If any irrigation, navigation, embankment or drainage work (commercial) which is classified as productive fail at any time after the expiry of ten years, from the date of the closure of its construction estimate, in five years out of next ten years whether successive or not to yield the relevant return prescribed should be transferred to unproductive class.","If any irrigation, navigation, embankment or drainage work (commercial) which is classified as productive fail at any time after the expiry of ten years, from the date of the closure of its construction estimate, in three successive years to yield the relevant return prescribed should be transferred to unproductive class.",D ,,10.
An unproductive work,Shall remain be categorised as unproductive irrespective of expected return,"Shall be categorised as Productive one if it succeeds in yielding, in three successive years after the expiry of ten years, from the date of the closure of its construction estimate, the relevant return prescribed for a productive work,","Shall be categorised as Productive one if it succeeds in yielding, in five successive years after the expiry of ten years, from the date of the closure of its construction estimate, the relevant return prescribed for a productive work","Shall be categorised as Productive one if it succeeds in yielding, in next ten years after the expiry of ten years, from the date of the closure of its construction estimate, the relevant return prescribed for a productive work",B ,,11.
"If an existing irrigation, navigation, embankment or drainage work be extended or improved, the criterion of productivity shall be applied to","the whole system, including such extension or improvement",only to such extension or improvement and not to the whole system,Either A or B depending upon the cost of such extension or improvement exceeding the one fourth of original project,None of the given,A ,,12.
An extension should be treated as a Separate Project provided,"owing either to its nature or magnitude, such as may reasonably be considered to be a separate project","having clear capital and revenue accounts kept of it, as distinct from those of the project as a whole",Both A&B,None of the given,C ,,13.
Postponement the transfer of a work from one class to the other in cases by,Local Administration when satisfied that its success or failure is due to purely transitory causes.,Central Administration when satisfied that its success or failure is due to purely transitory causes.,Central Government when satisfied that its success or failure is due to purely transitory causes.,All of the above,A ,,14.
When transfer of a work from the productive to the unproductive category or vice versa is made,No adjustment will be made in the general account as well as Proforma Accounts in respect of past transactions,Requisite adjustment will be made in the general account as well as Proforma Accounts in respect of past transactions,No adjustment will be made in the general account in respect of past transactions but the necessary transfer will be effected by the Pay and Accounts Officer in the Proforma Accounts of works in question.,Requisite adjustment will be made in the general account in respect of past transactions but no adjustment will be effected by the Pay and Accounts Officer in the Proforma Accounts of works in question.,C,,15.
Capital bears,all charges for the first construction and equipment of a project,charges for intermediate maintenance of the work while not yet opened for service,subsequent additions and improvements as may be sanctioned under rules by competent authority.,All of the above,D ,,16.
"Charges on account of restoration of damages caused by extraordinary casualties, such as flood, fire, etc. and such charges should be recorded under a separate head",Extraordinary Replacements as Capital Expenditure,Extraordinary Replacements as Revenue Expenditure,Unforeseen Replacement as Capital Expenditure,Unforeseen Replacement as Revenue Expenditure,A ,,17.
"Pick the correct one Revenue bears all charges for maintenance and working expenses which embrace all expenditure for the working and upkeep of the project, as also for such renewals and subsequent replacements, and such additions improvements or extensions, as it may be considered desirable to charge to Revenue, instead of increasing the capital cost of the undertaking.",True,False,,,A ,,18.
In the case of renewals and replacements of existing works the cost of the new work should be divided between the Capital and Revenue if,the cost really represents an increase in the capital value of the system,"exceeds the cost of the original work by Rs.1,000/","the cost really represents an increase in the capital value of the system and exceeds the cost of the original work by Rs.1,000/-",Either A or B,C ,,19.
In the case of renewals and replacements of existing works the cost of the new work should be divided between the Capital and Revenue,"the portion debited to the revenue account being the cost of the original work, which should be estimated if the actual cost is not known, and the balance charged to capital.","the portion debited to the capital account being the cost of the original work, which should be estimated if the actual cost is not known, and the balance charged to revenue.",Rs. 1000/- is debited to revenue and the balance in excess of Rs. 1000/- is charged to capital,Rs. 1000/- is debited to capital and the balance in excess of Rs. 1000/- is charged to Revenue,A ,,20.
"A renewal which does not represent a substantial improvement of the original but exceed the cost of that work by more than Rs.1,000/- should be charged to",Capital Account,Revenue Account,both Capital and Revenue Account,Either Capital or Revenue Account as determined by Accounts Officer.,B ,,21.
"Pick the correct one regarding charging of the expenditure on works of additions, extensions or improvements when the construction estimate of a project (commercial) is closed shall be charged to capital","Estimates exceeding Rs.1,000/- for works which are in themselves directly remunerative","Estimates exceeding Rs.1,000/- for works which are necessary for the full development of a project but which are not in themselves directly remunerative",Both A&B,None of the given,C ,,22.
"Pick the correct one regarding charging of the expenditure on works of additions, extensions or improvements when the construction estimate of a project (commercial) is closed shall be charged to Revenue","Estimates amounting to Rs.1,000 or under",All estimates for works which are neither remunerative in themselves nor considered necessary for the development of the project,None of the above,Both A&B,D ,,23.
Pick the incorrect one,Capital outlay on Power Projects-4601,Capital outlay on Major and Medium Irrigation-4701,Major and Medium Irrigation-2701,None of the given,A ,,24.
"The expenditure is recorded in two sections, separately for capital and revenue charges in respect of",Productive Works,Unproductive Works,Productive Works and Unproductive Works also where it is desirable and possible to maintain accounts on a quasi-commercial basis.,Unproductive Works and Productive Works also where it is desirable and possible to maintain accounts on a quasi-commercial basis.,C ,,25.
Miscellaneous expenditure upon the preliminary survey of new projects and also for the cost of famine surveys required for the preparation of famine programmes fall under the category of Productive Work,True,False,,,B ,,26.
"Works expenditure of Irrigation, etc. major head falls under one or others of the minor heads except",Works,Extensions and Improvements,Maintenance and Repairs,Miscellaneous,D ,,27.
"Works”, “Extensions and Improvements”, and “Maintenance and Repairs” minor heads are further divided into",seven sub-heads,eight sub-heads,nine sub-head,eleven sub-heads,A ,,28.
"Generally there are seven sub-heads under each minor head Works”, “Extensions and Improvements”, and “Maintenance and Repairs under any of the Major Head for expenditure on irrigation work,",the eighth sub-head namely Compensation may be opened under the minor head Works,the eighth sub-head namely Compensation may be opened under the minor head Maintenance and Repairs,the eighth sub-head namely Compensation may be opened under the minor head Extensions and Improvements,the eighth sub-head namely Compensation may be opened under any of the minor head,B ,,29.
All works expenditure relating to Main Canal and Branches may be divided into,"Main line of a canal,",each of its branches separately that relating to distributaries may be grouped for the distributaries belonging to the main line of the canal and to each of its branches separately.,Both A&B,None of the given,C,,30.
Pick the incorrect one,"When land is taken up for two or more of these sub-divisions at the same time, its cost must be divided in the best way practicable",In the case of Storage Projects all works connected with supply channels to feed the head reservoir come under Head Extensions and Improvements,"Water-power installations at the head works of a canal, head locks and head regulators of main and branch canals, fall under “Main Canal and Branches”","Building required for the general purposes of a Canal system such as workshops, headquarters, station, etc. are chargeable to “Main Canal and Branches.”",B ,,31.
"When a Canal or a distribution channel therefrom and a drainage in connection with it, are planned simultaneously and the two works intersect, the cost of the crossing should be charged to",Main Canal and Branches,Work,Extensions and Improvements,Drainage and Protective Works,D ,,32.
The head special Tools and Plant relating to Water Course is further sub-divided into,three detailed heads,two detailed heads,five detailed heads,four detailed heads,A ,,33.
"Combined works falling under two or more heads e.g., combined bridges and falls or combined falls and regulators should be classified to",all the works concerned accordingly,the work which predominates,the work which predominates the least,any of the work concerned,B ,,34.
Surveys and preliminary investigations head appears under,Extensions and Improvements,Maintenance and Repairs,Work,All of the above,C ,,35.
The term “Compensation” includes,Payment of land,"payments for buildings, trees, crops, etc. (c) cost of special land acquisition establishment when it is chargeable to the Public Works Department",All of the above,,D ,,36.
"Sale proceeds of wood, building materials etc. obtained on cleaning of land should be taken as",Revenue Receipt,Reduction of Expenditure,Misc. receipt,Deposit,B ,,37.
If any buildings acquired with the land are used as residences or otherwise let out they should,"be brought on the Register of Licence Fees of Buildings and Lands, Form CPWA 49, and licence fees/rents realized should be treated as ordinary licence fees/rent receipts.","not be brought on the Register of Licence Fees of Buildings and Lands, Form CPWA 49, and licence fees/rents realized should be treated as reduction of expenditure.","be brought on the Register of Licence Fees of Buildings and Lands, Form CPWA 49, but licence fees/rents realized should be treated as reduction of expenditure.","not be brought on the Register of Licence Fees of Buildings and Lands, Form CPWA 49, but licence fees/rents realized should be treated as ordinary licence fees/rent receipts.",A ,,38.
Pick the incorrect one regarding classification of works,Works (other than escapes and escape heads) for the regulation of supply-Regulator,"Water power plant (if a permanent fixture) and buildings in connection with such plant, also sluices and channels conducting water to and from the same-Mills","Permanent and temporary buildings (including staff quarters, offices workshops, stations, etc., but excluding buildings for water power) and station drainages, roads, gardens enclosure-walls, conservancy works, etc., pertaining to buildings individually or collectively-Building",None of the given,D ,,39.
"Excavation and embankments for the channels, and its side roads and service roads, protective work for the bed and sides, trimming turfing or revetting slopes, retaining walls for embankments fall under",Excavation and embankments,Earthworks,Navigation,Boundary and Service Roads,B ,,40.
"Works relating to experiments, Works in connection with irrigation outlets not debitable to the head Water-courses, distant marks and boundary pillars are included under the head",Miscellaneous,Extra-ordinary,Maintenance,Any of the above,A ,,41.
All repair works prior to the opening of the revenue account for the project or the section concerned shall be debitable to the detailed head Maintenance which appears only under the minor head,Maintenance and Repairs,Extension and Improvement,Works,Contingency,C ,,42.
"The Minor Head Establishment pertaining to Irrigation, Navigation, Embankment, Drainage and Water Storage are sub-divided into",seven detailed heads,nine detailed heads,eleven detailed heads,ten detailed heads,D ,,43.
"State whether true or false Detailed head Pensionary Charges under the Minor Head Establishment pertaining to Irrigation, Navigation, Embankment, Drainage and Water Storage only relates to Major Head 4701 and 2701.",True,False,,,A ,,44.
