question,option_a,option_b,option_c,option_d,answer,hint,srno
The expenditure incurred by the Divisional Officers on behalf of Cabinet Secretariat or/and Ministry of Defence will be booked under the,Suspense head 8658 -Suspense Accounts- 107-Cash Settlement Suspense Account,Suspense head 8658 -Suspense Accounts- 129-Material Settlement Suspense Account,Miscellaneous Works Advance under the functional major head,Contractor-Advance payment under the functional major head,A ,,1.
Pick the incorrect one,"A claim for reimbursement of the monthly expenditure will be made by the Division against the Accounts Officer of the Cabinet Secretariat or the Ministry of Defence, as the case may be, duly supported by an attested copy of the Schedule of Works Expenditure (without any supporting vouchers) in Form CPWA 64.",The Accounts Officer concerned will settle the claim within one fortnight of receipt of claims on the basis of this.,"In the month of March, the Divisional Officer will send an extra copy of the schedule of Works Expenditure to his PAO who will certify that the total expenditure for the year and forward this certified schedule to the concerned Pay & Accounts Officer.",None of the given,B ,,2.
Pick the correct one,Any excess/short payments which come to light as a result of the post-check of the Divisional Accounts will be communicated by the PAO of the division to the PAO of Cabinet Secretariat/Ministry of Defence as the case may be for rectification of the resultant charge.,It will be the responsibility of the PAO of Cabinet Secretariat/Ministry of Defence as the case may be to rectify his/her accounts accordingly,Both A&B,None of the given,D ,,3.
"In respect of works etc. executed on behalf of other Ministries/Departments for which budget provision is included in the Demands for Grants of CPWD, expenditure will be debited",107-CSSA below Major Head 8658,129-MPSSA below Major Head 8658,final heads against the concerned sub-head of the Demand,MWA of the work concerned,C ,,4.
"Works expenditure incurred by the CPWD in Nepal on behalf of the Ministry of External Affairs, the reimbursement of the expenditure will be claimed and received by the",CPWD Divisions direct,PAO of CPWD Divisions concerned,"PAO CPWD (FOOD Zone), New Delhi",PAO of Ministry of External Affairs,C ,,5.
"When store is supplied by a supplier/contractor under DGS&D, the payment to supplier/contractor is made by",Division concerned,PAO of the division concerned,PAO of Department of Supply subject to re-imbursement,"Principal Accounts Office, Ministry of Urban Development",C ,,6.
Accounting entry made by PAO Department of Supply on receipt of claim for store supplied to PW Division,Debit 8658-101-PAO Suspense and Credit 8670-Cheque and Bill,Debit 8658-101-PAO Suspense and Credit 8782-PW Remittance,Credit 8658-101-PAO Suspense and Debit 8670-Cheque and Bill,Credit 8658-101-PAO Suspense and Debit 8782-PW Remittance,A ,,7.
"On receipt of outward claim together with supporting vouchers from P.A.O, Department of Supply, the PAO of the Division will",Credit 8658-129-MPSSA and Debit 8670-Cheque and Bill,Minus Credit 8658-129-MPSSA and credit 8670-Cheque and Bill,Credit 8658-129-MPSSA and Debit 8782-PW Remittance,Minus Credit 8658-129-MPSSA and credit 8782-PW Remittance,B ,,8.
"The Division on receipt of the materials procured by placing indents on DGS&D, will",debit 8658-129-MPSSA Purchases pending payment/adjustment and credit stock or work concerned,Credit 8658-129-MPSSA Purchases pending payment/adjustment and Debit 8782-PW Remittance,Debit 8658-129-MPSSA Purchases pending payment/adjustment and Credit 8782-PW Remittance,credit 8658-129-MPSSA Purchases pending payment/adjustment and debit stock or work concerned,D ,,9.
"The PAO Memos when received from the office of the PAO will, it will be adjusted in the Divisional Accounts by",minus credit to Purchases pending payment/adjustment and credit to the sub-head Payment for purchases through DGS&D-under 129-MPSSA-8658,credit to Purchases pending payment/adjustment and debit to the sub-head Payment for purchases through DGS&D-under 129-MPSSA-8658,minus credit to Purchases pending payment/adjustment under 129-MPSSA-8658 and credit to 8782 PW Remittance,credit to Purchases pending payment/adjustment under 129-MPSSA-8658 and debit to 8782 PW Remittance,A,,10.
Pick the correct,"The credit under the Sub-head  ‘Payment for purchases through DGS&D ‘ appearing in Divisional Accounts on account of adjustment of P.A.O Memo, will be paired off/netted with the minus credit under this Sub-head given by the P.A.O.","After reconciliation, the P.A.O will inform the Division concerned about the P.A.O Memos not adjusted or pending for further action.",Both A&B,None of the given,C ,,11.
"PAO, Deptt of Supply will send outward claim together with the supporting vouchers to P.A.O of the Division for claiming re-imbursement of payment made on behalf of the P.A.O of the Division in form",CAM 52,CAM 54,CAM 67,CAM 65,B ,,12.
The Scheme of Authorisation in the Government of India was introduced from the Financial Year,1993-94,1971-72,1998-99,1986-87,D ,,13.
The said scheme of authorization is applicable to,Schemes of all the Ministries/Department including Non-Civil Departments,Schemes of all the Non-Civil Departments,Schemes of all the Ministries/Department except Non-Civil Departments,all schemes of Non-Government and Private Agencies,C ,,14.
