question,option_a,option_b,option_c,option_d,answer,hint,srno
Expenditure on the construction or maintenance of a work may be divided broadly into two classes,Final and Suspense,Capital and Revenue,Cash and Stock,Major and Minor,C,(10.1.1),1.
Whether true or False Works accounts are separate accounts maintained in Sub-Divisional /Divisional Offices for recording (i) the cost of individual works and (ii) the transactions of individual contractors/suppliers pertaining to all charges affecting work expenditure,True,False,,,A,(10.1.1),2.
"The initial records upon which the accounts of works are based on three documents, pick the incorrect one",Muster Roll including casual labour Roll,The measurement Books,Work-charged Establishment Bills,Budgetary Estimates,D,(10.1.2),3.
The measurements of work done by daily rated labourers on a Muster Roll are recorded in the,Muster Roll,Measurement Books,Contractor Ledger,Works Abstract,B,(10.1.3),4.
The payments to contractors and others for the work done or other services rendered are made on the basis of measurements recorded in,Contractor Ledger,Works Abstract,Measurement Books,Muster Roll,C,(10.1.3),5.
The cost of special establishment employed in the acquisition of land when chargeable to the accounts of the works concerned should be treated as a part of the,Revenue Expenditure,Works Expenditure,Office contingency,Special Contingency,B,(Note 2 below 10.1.5),6.
Pick the incorrect one in respect of Cash charges on works consist of payments to,labourers on Muster Roll and casual labour roll,members of the work charged establishment,contractors and others for work,member of regular establishment,D,(10.2.1),7.
Initial accounts and vouchers connected with charges relating to works must invariably specify the following. Pick the incorrect one,The full name of the work as given in the estimate,"The name of the component part of it, if separate accounts are kept up for the several component parts",The charges (if any) which are of the nature of recoverable payments and the names of the contractors or others from whom recoverable.,Fund position,D,(10.2.2),8.
All persons engaged departmentally for the execution of works are considered as day labourers and their wages should be drawn on,Muster Rolls Form CPWA 21,Muster Rolls Form CPWA 22,Measurement Book Form CPWA 23,Measurement Book Form CPWA 23A,A,(10.2.3),9.
Wages to the labourers borne on Muster Roll is charged to,Work charges establishment,Direction & Administration,Work concerned,Contingency,C,(10.2.3),10.
Pay to Permanent and temporary employees of the division is charged to,Work charges establishment,Direction & Administration,Work concerned,Contingency,B,(10.2.3_a),11.
"For all the labourers and workmen employed on Muster Rolls, Form CPWA 21 a labour report indicating the number of labourers and workmen employed is required to be sent the Sub Divisional Officer/Divisional Officer in Form",CPWA 21A,CPWA 29,CPWA 30,CPWA 31,C,(10.2.3_b),12.
Form CPWA 30 is required to be submitted to the Sub Divisional Officer/Divisional Officer as the case may be on,daily,weekly,fortnightly,monthly,A,(10.2.3_b),13.
Labour Report in CPWA 30 indicates,Amount chargeable to labour,Amount due to labour,Work done and amount incurred,number of labourers and workmen employed on each day,D,(10.2.3_b),14.
The need of labour report in CPWA Form 30 is,Reconciliation with budget estimate,incorporation with Work charges Establishment,Reconciliation with Muster Roll,All of the above,C,(10.2.3_b),15.
Labour reports for Muster rolls are not required to be sent if it contains,15 persons or less,Less than 15 persons,20 persons or less,Less than 20 persons,A,(Note below 10.2.3),16.
Pick the incorrect one with regard to Muster Roll,One or more muster rolls should be kept for each work,But muster rolls should never be prepared in duplicate.,"It is permissible, however, to keep one muster roll for labourers employed upon several small works, in cases in which the total unpaid wages may conveniently be recorded as relating only to the larger work in the group.",Labourers may be paid at the end of the month and separate rolls must be prepared for each period of payment.,D,(10.2.4) may be paid more than once in a month,17.
The daily attendances and absences of labourers and the fines inflicted on them should be recorded daily in,Part I of MR,Part II of MR,Summary of MR,Abstract of MR,A,(10.2.4_c),18.
Pick the incorrect one with regard to Muster Roll,"After a muster roll has been closed, payment thereon should not be made as expeditiously as possible.","Acknowledgement, duly stamped where necessary should be obtained from each payee on the Muster Roll",Each payment should be made or witnessed by the Official of highest standing available who should certify to the payments individually or by groups,The total amount paid on each date should be specified both in words and in figures at the foot of the muster roll,A,(10.2.4_d),19.
"Any item remains unpaid, the details thereof should be recorded in a Register of Unpaid Wages in Form",CPWA 21,CPWA 21A,CPWA 22,CPWA 22A,B,(10.2.4_d),20.
CPWA 21A should be maintained in the office of,SDO,Executive in charge of work,DO,Divisional Accountant,A,(10.2.4_d),21.
The subsequent payment of unpaid wages on a Muster Roll should be made on Hand on,Muster Roll CWPA 21,Hand Receipt CPWA 28,Full and final payment CPWA 24,Pay Bill CPWA 29,B,(10.2.4_e),22.
The Divisional Office should be reported by the SDO for Wages on a Muster Roll remaining unpaid for,One month,Two months,Three months,Six months,C,(10.2.4_f),23.
In all cases where such work is susceptible of measurement progress of work done by the labour should be recorded in,Part II Measurement Book,a certificate by SDO,a certificate by SDO,Part II of MR,D,(10.2.4_g),24.
"State whether true or false It is not necessary to reproduce the details of measurement in Part II, nor need Part II be written up if progress is reported once a month or often in any other suitable Form and such separate reports are considered sufficient.",True,False,,,A,(Note 1 below 10.2.4_g),25.
"Before payments are made by the Divisional Office, the check of Muster Rolls with reference to the entries in the Measurement Books to the extent of 100% will be done by",Executive in charge of work,Divisional Accountant,SDO,DO,C,(Note 2 below 10.2.4_g),26.
