question,option_a,option_b,option_c,option_d,answer,hint,srno
The share of municipal taxes paid by Government on behalf of licensees of Government buildings should be debited to the haed pending recovery,Expenditure incurred on Deposit Works in excess of deposits received,"Losses, retrenchments, errors, etc.",Other items,Retrenchments and losses of other kinds recoverable from Government Servants,C,,1.
"The head “Other items” under the MWA shall include the following (i) debits, the classification of which cannot be determined at once (ii) recoverable debits not pertaining to the accounts of a work (iii) recoverable outstanding appertaining to works, the accounts of which are closed (iv) The share of municipal taxes paid by Government on behalf of licensees of Government buildings.","(i), (ii) and (iii)","(ii), (iii) and (iv)","(i), (iii) and (iv)",All of the above,D,,2.
The detailed accounts of this Miscellaneous Works Advances should be kept in,CPWA 67,CPWA 69,CPWA 70,CPWA 71,A,,3.
"When any charges are transferred from one job or operation to another, the transfer should be made by",plus and minus credit entries,plus and minus debit entries,plus debit entries,plus credit entries,B,,4.
The accounts to be kept in a workshop depend on the extent of the operations and the size of the shop.,True,False,,,A,,5.
Forms to be used and the procedure to be observed with regard to a workshop will be settled by the,Administrative Ministry/Administrator concerned in consultation with the office of the Chief Controller of Accounts.,Chief Controller of Accounts in consultation with the office of the Administrative Ministry/Administrator concerned,Divisional Officer in consultation with the Chief Controller of Accounts concerned,Divisional Officer in consultation with the PAO,A,,6.
"No work should be undertaken for municipalities or private parties before the whole estimated cost including all charges for supervision, profit etc has been paid to the Divisional Office. This can be relaxed by",DO/Superintendent of Workshop,SE,DG (Works)/CE,Admin. Min/Administrator,A,,7.
"Where capital accounts of a Workshop are kept and intended mainly for the needs of the irrigation Branch or the workshop being a quasi-commercial, the capital expenditure should be recorded under",4059,4701,2059,2701,B,,8.
"Where capital accounts of a Workshop are kept and intended mainly for the needs of the irrigation Branch or the workshop being a quasi-commercial, receipts representing recoveries of capital expenditure will be taken as",revenue receipt,reduction of expenditure,contingent receipt,miscellaneous deposit,B,,9.
"Where capital accounts of a Workshop are kept and intended mainly for the needs of the irrigation Branch or the workshop being a quasi-commercial, revenue receipts shall be accounted as",minus debit 4701,minus debit 2701,credit 0701,minus credit 0701,C,,10.
"Where capital accounts of a Workshop are kept and intended mainly for the needs of the irrigation Branch or the workshop being a quasi-commercial, working expenses will be booked under",debit 2701,minus debit 2701,debit 4701,minus debit 4701,A,,11.
"Where capital accounts of a Workshop are kept and intended mainly for the needs of the Civil Works Branch, all expenditure incurred upon it be it capital or of working expenses, should be recorded under",4059,4701,2701,2059,D,,12.
"Where capital accounts of a Workshop are kept and intended mainly for the needs of the Civil Works Branch, recoveries of capital expenditure will be taken as revenue receipt",True,False,,,B,(Reduction of Capital Exp),13.
"Where capital accounts of a Workshop are kept and intended mainly for the needs of the Civil Works Branch, revenue receipts will be booked under",credit 0059,minus debit 2059,minus debit 4059,minus credit 0059,A,,14.
"Pick the incorrect one (i) Where no capital accounts of a workshop are kept for irrigation branch capital expenditure and revenue expenditure should be booked under 4701 and 2701 respectively (ii) Where no capital accounts of a workshop are kept for civil branch all expenditure be it capital or revenue should be booked under the ‘2059 (iii) Where no capital accounts of a workshop are kept for irrigation branch “recoveries of expenditure” or “revenue receipts should be booked under minus debit 2059 or credit 0059 as the case may be (iv) Where no capital accounts of a workshop are kept for civil branch, and all receipts, whether “recoveries of expenditure” or “revenue receipts”, under the 0059.",(i) and (ii),(i) and (iii),"(i), (ii) and (iii)",All of the above,C,"In respect of (iii) the Major Head will be 2701 or 701 in place of 2059 or 0059.  In case of Civil Branches, whether a Capital Account is maintained or not all charges on account of Workshop be it of capital or revenue nature shall be accounted under Major 2059.",15.
General charges on account of works undertaken in a workshop may be allocated,as soon expenditure incurred,on completion of the job,month by month,yearly,C,,16.
"In the case of jobs of all classes undertaken in a workshop, the cost of operations should be cleared or adjusted month by month but in the following cases the accounts of a job may be settled once a year in March, or in an earlier month if the job is completed earlier",When the total cost during the year is not larger than Rs.1000/-,"When the monthly settlement of account is inconvenient to the indenting division, department or Government.",in both of the above cases,in neither of the above case,B,( It is 500 and not 1000),17.
"When the estimated cost of a job is recovered in advance, it should be kept in",deposit,revenue receipt,MWA,civil advance,A,,18.
"Percentage charges on Supervision charges, Interest on the capital cost of buildings, plant and machinery, Maintenance charges of buildings plant and machinery, Depreciation of buildings, plant and machinery and Establishment charges connected with workshop operation is determined by",Divisional Officer in consultation with the PAO.,Divisional Officer in consultation with the Chief Controller of Accounts concerned,Chief Controller of Accounts in consultation with the office of the Administrative Ministry/Administrator concerned,Administrative Ministry/Administrator concerned in consultation with the office of the Chief Controller of Accounts,D,,19.
Percentage charge for maintenance charges of buildings is based on,life of the building,period since completion of the building,actual plinth area of the building,actual cost of the building,C,,20.
The percentage for Supervision charges should be calculated on the value of,materials issued to each job,labour employed on each job,both material issued to and labour employed on each job,final cost of the operation including indirect charges incurred on the each job.,A,,21.
"The percentage realized on account of establishment charges relatable to works done for other Governments, Local Funds, Private Parties, etc, is treated as",reduction of charges,revenue receipts,miscellaneous deposit,contingent income,B,,22.
"The indirect charges on account of supervision charges, interest on capital etc. should be brought to account whenever the settlement of the account of direct charges is effected",True,False,,,A,,23.
Proforma accounts of each workshop should be prepared,monthly,quarterly,half-yearly,yearly,D,,24.
Proforma accounts of each workshop should consist of the following except,Capital Account,Out-turn Account showing,Trading Account,Profit & Loss Account,C,,25.
Pick the incorrect one regarding the accounts of Proforma Account of a workshop,"Capital Account showing the values of the buildings, machinery and plant and stock and the outstanding balance",Out-turn Account showing the value of works done during the year,The Profit and Loss Account showing on the one side the actual working liabilities of the year and on the other side the percentage charges made for audit and accounts,None,B,(It shows operation charges),26.
Which of the following are the working liabilities of a workshop,"interest calculated on the mean capital of the year such as land, building etc",the actual maintenance charges of buildings and machinery and plant,"depreciation of buildings, machinery and plant calculated on the Capital Value thereof",All of the above,D,,27.
Annual review of a workshop’s account is made under the direction of,Chief Accounting Authority,CCA,PAO,Admin. Min/Administrator,A,,28.
"______will review the annual accounts of a workshop, in consultation with the ______","CEA, CCA","CCA, officer in charge","CCA, PAO","PAO, officer in charge",B,,29.
Annual review of a workshop’s account is reported to,CEA,CCA,Admin. Min/Administrator,Govt.,A,,30.
"Deposit transactions of the Public Works Department are of two kinds, pick the correct one",Public Works Deposits and non-public work deposit,Government deposit and non-Government deposit,Public Works Deposit and Interest bearing securities,Subordinate deposit and contractor deposit,C,,31.
Pick the correct one,"The three kinds of interest-bearing securities are deposited by subordinates, contractors and Government",The interest-bearing securities do not pass through the regular accounts of division.,both,neither,B,(Two kinds one by subordinates and contractor,32.
Promissory notes and stock certificates of the Central Government or a State Government and Municipal debentures or Port Trust Bonds and or debentures issued by the State Financial Corporations may be accepted as an interest-bearing certificate at,5% below their market price or at their face value whichever is less,5% above their market price or at their face value whichever is less,10% below their market price or at their face value whichever is less,10% above their market price or at their face value whichever is less,A,,33.
Which of the following are the accepted type(s) interest-bearing securities (i) Gold bond (ii) Post Office Saving Bank Pass Books (iii) Deposit receipts of all Banks including Fixed Deposits. (iv) 7 years Social Security Certificates (v) Guarantee bonds of Scheduled Commercial and Non-commercial Banks,"(i), (ii) (iii) and (iv)","(i), (iii) (iv) and (v)","(i), (ii) and (v)",All of the above,C,"(iii-scheduled bank, iv-10 years)",34.
Fidelity Bond is submitted in Form,CPWA 34,GAR 34,CPWA 35,GAR 35,B,,35.
