question,option_a,option_b,option_c,option_d,answer,hint,srno
"In respect of each Ministry and Department, each office or branch of the Reserve Bank or bank handling transactions of the Ministries, Departments of the Central Government shall maintain",separate accounts for all the Ministries/Department,consolidated accounts for all the Ministries/Department,Consolidated accounts for all Civil Ministries and Departments and separate for Defence and Railways,Consolidated accounts for all Civil Ministries and Departments including Railways and separate for Defence only,A,[Rule: 8 (2)],01.
"Each office or branch of the Reserve Bank shall render an account of the transactions together with all the supporting challans, paid cheques to",Ministry of Finance,Chief Accounting Authority of the concerned Ministry/Department,The Pay and Accounts Officer of the concerned Ministry/Department,All of the above,C,[Rule: 8 (2)],02.
"Responsible for keeping a complete account, of receipt and payments (including inter- Governmental adjustments and adjustments inter se of Defence, Railways and Posts'other than Telecommunications) on account of the Central Government is","Central Accounts Section, RBI Mumbai","Central Accounts Section, RBI Nagpur","Government Accounts Department, SBI, Delhi","Government Accounts Department, RBI, Delhi",B,[Rule: 8 (2)],03.
"State whether true or false        The transactions of Railways, Posts, Telecommunications and Defence Department arising at offices and branches of the RBI and SBI, acting as agent of the BRI shall be distinguished from other Central transactions in the initial accounts and classified separately for each Railways, each circle of Posts, each Accounts Officer of Telecommunication, and each Controller of Defence Accounts respectively.",True,False,,,A,[Rule: 8 (3)],04.
A statement of the closing balance of the Central Government shall be sent each month by the Central Accounts Section of the Reserve Bank to the,Finance Minister,CAG,CGA,Chief Controller of Accounts of concerned Ministries/Department,C,[Rule: Note below 8 (3)],05.
Pick the incorrect one,"The Central Accounts Section of Reserve Bank shall maintain individual accounts of various Central Government Ministries, Departments and of Union Territory Administrations having separated accounts offices",The Central Accounts Section of Reserve Bank shall send a daily statement to their Principal Accounts Offices,The statement shall be submitted with such supporting details as may be prescribed by the Reserve Bank in consultation with the CGA,"In respect of Union Territory Administrations dealt with by Accountants General and of all Union Territory Governments with Legislature, the statement will be submitted to the concerned Accountants General with break-up of balances/transactions relating to Central Government and relating to relevant Union Territory Administrations) and Accounts Offices of Union Territory Governments",B,[Rule: 8 (3)],06.
State whether true or false        The operations of each State shall be confined to the offices and branches of the Reserve Bank of India and of the bank which have been designated as falling within the area of that particular State.,True,False,,,A,[Rule: 9],07.
The receipt and payment of moneys on behalf of a State outside its jurisdiction shall ordinarily be arranged through the,Accountant General of the State in which the transactions take place,"RBI, Central Accounts Section Nagpur",Ministry of Finance,CGA,A,[Rule: 9],08.
The Governments of State which have not so far entered into agreement with the Reserve Bank of India for the conduct of their general banking business by the Reserve Bank?,Jammu and Kashmir,Jammu & Kashmir & Sikkim,Jammu and Kashmir and Goa,Jammu and Kashmir and TN,B,[Rule: Note below 9],09.
"Transactions on account of discharge value of, and periodical interest on securities of State Governments, as well as receipts on account of subscriptions against market loans floated by State Governments are taken by the officers of the Reserve Bank of India directly against the cash balance of the State Government concerned with the Central Accounts Section of the Reserve Bank of India, Nagpur w.e.f",1972,1974,1976,1978,D,[Rule: 10 (w.e.f. 01 Feb 1978)],10.
The agency that act as a general clearing house for the adjustment of (i) all transactions between different State Governments and (ii) such transactions between the Central and State Governments as may be specified by the Central Government is,"RBI, Central Accounts Section Nagpur","RBI, Central Accounts Section Mumbai","Government Accounts Department, Delhi","Government Accounts Department, Mumbai",A,[Rule: 11],11.
All adjustments to be made between the accounts of different State Governments as well as all payments which one of these Governments has to make to another shall be advised to Central Accounts Section by the,Finance Department,Accountant General,CGA,CAG,B,[Rule: 11],12.
