question,option_a,option_b,option_c,option_d,answer,hint,srno
As a general principle Grants-in-aid can be given to a person or a public body or an institution having a,distinct legal entity,sound financial position,credible performance record,substantial working force,A,[Rule: ],01.
No new autonomous institutions should be created by Ministries or Departments without the approval of the,Parliament,President,Cabinet,Finance Minister,C,[Rule: ],02.
Regional Centres/Offices/Sub-Stations of any autonomous body can be created with prior approval of the administrative ministry in consultation with,CGA,CCA,Niti Aayog,Ministry of Finance,D,[Rule: ],03.
The Ministry or Department create a Corpus Fund out of budgetary allocation for an Autonomous Body only with prior concurrence of,CGA,CCA,Niti Aayog,Ministry of Finance,D,[Rule: ],04.
"In case of a Corpus Fund created out of internal resource, the approval to be obtained from",Financial Advisor,Administrative Ministry,Chief Controller of Accounts,CGA,B,[Rule: ],05.
Governing Body of the Autonomous Body shall review user charges/ sources of internal revenue generation at least once,a year,a two years,a three years,a five years,A,[Rule: ],06.
Review of user charges/sources of internal revenue generation should be informed to administrative Ministry,before the formulation of Union Annual Budget.,by end of next financial year,by September,by September of following year,A,[Rule: ],07.
Who will be responsible for overall financial management of the autonomous bodies?,the Financial Advisor,the Chief Executive Officer,the Governing Board,the Administrative Ministry/Department,B,[Rule: ],08.
"Depending on the size and nature of activity of autonomous organisations, Ministry shall put in place a system of external or internal peer review of autonomous organisations",every one or two year,every two or three year,every three or four year,every three or five years .,D,[Rule: ],09.
Autonomous organisations as also others should be required to enter into a Memorandum of Understanding with the Administrative Ministry or Department with a budgetary support of,more than Rupees five crores per annum,less than Rupees ten crore per annum,more than Rupees ten crore per annum,more than Rupees two crore per annum,A,[Rule: ],10.
Findings of the peer review should be examined and put up for appropriate decision by the concerned programme division of the Administrative Department to the,"Secretary, Department of Expenditure, Ministry of Finance",Secretary of the Administrative Department.,Financial Advisor of the Administrative Department,Union Cabinet,B,[Rule: ],11.
Grant is classified into,Recurring and Non-recurring Grants,Capital and Revenue Grants,Plan and non-plan Grants,National and International Grants,A,[Rule: ],12.
"The orders of Grant shall specify the time limit within which the Grant or each instalment of it, is to be spent in case of",Recurring Grants,Non-recurring Grants,Capital Grants,Revenue Grants,B,[Rule: ],13.
