question,option_a,option_b,option_c,option_d,answer,hint,srno
The check of works accounts is conducted in three stages; pick the incorrect one,Preliminary internal check by the Divisional Accountant in the Divisional Office,Test check by A.G (Audit) team in the Divisional Office,Checking of monthly accounts in Accountant General's Office,Checking of Divisional Reconciliation statement of expenditure and receipts with reference to Debt Head and Classified Abstracts/Summary Registers maintained in Works Accounts Wing of Accountant General (A&E) office.,B ,8.1,1.
"Pick the correct one in the context of Divisional Accountant’s responsibility for examining the Accounts Returns of Sub Divisional Officers to see (i) that they have been received in a complete state (ii) that they have been received on or before scheduled date of submission of accounts (iii) that the sums receivable are duly realised and on realisation credited to the proper head of account, and also to the proper personal account (if any) of the contractor, employee or other individual (iv) that the charges are covered by sanctions and allotments, and are supported by complete vouchers setting forth the claims and the acknowledgements of the payees legally entitled to receive the sum paid","i, ii and iii","i, iii and iv","ii, iii and iv",all of the above,B ,8.2,2.
"Pick the correct one in the context of in addition to Divisional Accountant’s responsibility mentioned above for examining the Accounts Returns of Sub Divisional Officers to see (i) that all vouchers and accounts are arithmetically correct (ii) that they are in all respects properly prepared in accordance with rules (iii) that all charges are correctly classified, those which are debitable to the personal account of a contractor, employee or other individual being recorded as such in a prescribed account (iv) that on the basis of rates sanctioned by competent authority and of facts (e.g., quantities of work done, supplies made, etc, or service rendered) certified by authorised Government servants, the claims admitted for payment are valid and in order.","i, ii and iii","i, iii and iv","ii, iii and iv",all of the above,D ,8.2,3.
State whether true or false It is mandatory for the Divisional Accountant to check personally the arithmetical accuracy of all vouchers and accounts and therefore he is responsible to ensure that a cent per cent check is exercised efficiently.,True,False,,,B ,"Note below 8.2, responsible to ensure 100% check ",4.
The Divisional Accountant should exercise check from day to day upon,the transactions recorded direct in the accounts of the Divisional Office,"bills and vouchers of Sub Divisions, which are submitted to the Divisional Officer for approval before payment is made by the Sub Divisional Officer; in respect of charges this examination should be conducted before the payment is made.",Neither a or b,Both a & b,D ,8.3,5.
"Pick the correct one regarding the functions of the Divisional Accountant (i) The cash and stock accounts of the entire division as also all transfer transactions should be scrutinized by the Divisional Accountant before they are included in the Monthly Account (ii) He should see that every payment/refund is so recorded and a receipt for it so obtained that a second claim against Government on the same account is impossible (iii) He is to see that expenditure, which is within the competence of the Divisional Officer to sanction or regularise, is not incurred under the orders of subordinate disbursing officers without his knowledge. (iv) All such items of expenditure should at once be brought to the notice of the Superintendent Engineer and Chief Accounting Officer and their orders obtained and placed on record.","i, ii and iii","i, iii and iv","ii, iii and iv",all of the above,A ,8.2 to 8.6 in the notice of DO and not SE ,6.
"If the Divisional Officer is allowed a lump sum provision for expenditure on a group of works, and he has made out of it allotments for individual works, expenditure should be watched against",Individual allotment,Combined allotment,As mentioned in work estimates,a or b at the discretion of DO,A ,Note below 8.6 ,7.
"If against a single sanction, two or more disbursing officers have to operate simultaneously, the Divisional Accountant should see that orders imposing a definite limitation on the money transactions of each officer are obtained from",Chief Controller of Accounts,DG (Works),SE,DO,D ,8.7,8.
If disbursing officers of two or more divisions are have to operate simultaneously on a work or project the orders should be obtained from,the Head of the circle or higher authority,Accounts officer or chief Accounting Officer,Senior-most DO of the concerned divisions,Government of India,A ,8.7,9.
"Pick the correct one regarding the functions of the DA (i) The Divisional Accountant should check works expenditure with the estimates to ensure that the charges incurred are in pursuance of the object for which the estimate was intended to provide. (ii) In the case of works the expenditure on which is recorded by Sub-Heads (that is, items of work such as brick-works, etc.) the Divisional Accountant is responsible for checking the expenditure on each Sub-Head with the estimated quantity of work to be done, the sanctioned rate, and the total sanctioned cost so that he may bring to notice all deviations from the sanctioned estimate. (iii) He should see that without the orders of Competent Authority the authorised gross expenditure on a work is not exceeded and that any surplus recoveries of expenditure are not utilised towards additional expenditure. (iv) He should also see that savings due to abandonment of parts of a work, as evidenced by the quantities of the work executed or otherwise, are not utilised towards an unauthorised object.","i, ii and iii","i, iii and iv","ii, iii and iv",all of the above,D ,8.8 & 8.9 ,10.
