question,option_a,option_b,option_c,option_d,answer,hint,srno
Advance payment for purchase of store shall be made on an abstract contingent bill in from,GAR 30,GAR 31,GAR 29,GAR 28,A,[Rule: 126 (2)],01.
Settlement of advance payment made for purchase of store shall be done on a detailed contingent bill in from,GAR 30,GAR 31,GAR 29,GAR 28,C,[Rule: 126 (2)],02.
"Wherever stores are supplied by one Department to another and debits are required to be raised through the Accounts channel, the following instructions except should be printed on all forms of invoices for the supply of stores, etc.",Department or Office to which the charge is debitable,"Unit of appropriation (Major, Minor, Subhead and Detailed head) and Demand for Grant. ..........Number....",Month and year to which the charge relates,DDO by whom the amount is payable,D,[Rule: Note below 126 (2). It is Accounts Officer not DDO by which payable],03.
Payments for all purchases ordered through the India Supply Missions at London or Washington will be arranged by the,Head of Department of indenting Department/Ministries,PAO of indenting Department/Ministries,"High Commission of India, London/Indian Embassy, Washington",PAO of Ministry of External Affairs,C,[Rule: 128. Debit is passed on to India in due course],04.
"In regard to articles obtained by placing direct orders on firms or individuals in the United Kingdom, United States of America or any other foreign country, payment shall be arranged",Concerned High Commission/Embassy,PAO of Ministry of External Affairs,Accounts Officer of the concerned Department/Ministries,Principal Accounts of the concerned Department/Ministries,C,[Rule: 129 (i)],05.
"Where the time schedule of payment permits the Accounts Officer to purchase a bank draft in the specified foreign currency in favour of the supplier in the foreign country, the cost of the bank draft will be booked by the Accounts Officer against the",bill of supplier,Office contingency,Misc. Expenditure,relevant head of account,D,[Rule: 129 (ii)],06.
State whether true or false No Letter of Credit (LoC) shall be opened in favour of foreign suppliers.,True,False,,,B,"[Rule: 129 (iii). Where heavy payment is involved, LoC may be opened.]",07.
FOB stands for,Free on Board,First on Board,Freight on Board,Facilitation on Board,A,[Rule: ],08.
"Instructions regarding procedures for payments to foreign suppliers for imports covered under various foreign aid (credits, loans or grants) programmes and, instruction's regarding procedures for accounting of cash and equipment grants received by the Government from various foreign Governments or Institutions, are issued by",CGA,CAG,"Controller of Aid, Accounts and Audit",Ministry of External Affairs,C,[Rule: Note 3 below 129 (iv)],09.
"Controller of Aid, Accounts and Audit is located in Ministry of Finance in the Department of",Expenditure,Economic Affairs,Budget,Public Debt and Loan,B,[Rule: Note 3 below 129 (iv)],10.
"Instructions issued by the Controller of Aid Accounts and Audit (Department of Economic Affairs) for each loan, credit or grant agreement shall be approved",CGA on the advice of CAG,CAG on the advice of CGA,Finance Minister on the advice of CGA,President on the advice of cabinet,A,[Rule: Note 3 below 129 (iv)],11.
"When it is not possible to give details of contingent work expenditure at the time of drawing the bill, their subsequent submission to Accounts Officer in a bill in Form GAR 31 along with necessary sub-vouchers shall never be delayed for more than",15 days,a month,two months,three months,B,[Rule: 131],12.
Wages of labourers engaged departmentally shall be drawn on,Hand Receipt,Casual Labour Roll,Muster Roll,Labour Roll,C,[Rule: 132 (1)],13.
Pick the incorrect one,"If any items remain unpaid, the details thereof must be recorded separately in the muster roll in which they were originally drawn","Unpaid items shall subsequently be carried forward from muster roll to muster roll until they are paid, the payments-being recorded and certified in the same way as current items.",it will be optional with the disbursing officer to adopt any other alternative method of making payment of unpaid wages.,Wages of members of the work-charged establishment may be drawn on form GAR 29,D,[Rule: 133 & 134],14.
"State whether true or false        Wages of WCE remaining unpaid on a passed bill on the date fixed for closing the accounts of the month may be paid subsequently when claimed, on a separate bill, quoting in each case; the reference to the bill in which the Charge was originally included and the particular item thereof.",True,False,,,A,[Rule: 134 (3)],15.
payment for all work done other than by daily labour and for all supplies shall be made on the basis of measurements recorded in,Goods Received Sheet,Dead Stock,Muster Roll,Measurement Book,D,[Rule: 135 (1)],16.
As far as possible claims for payments for work done or supplies made shall be prepared in authorised forms of bills and vouchers by the,claimants themselves,Officer-in-charge of work/supplies,DDO,Accounts Officer,A,[Rule: 135 (1)],17.
"Subject to such general or special instructions as may be issued by the Government, measurement books may be kept in such form and according to such methods as may be authorised by",Works Manual,Departmental Regulations,Accounts Officer,Principal Accounts Officer,B,[Rule: 135 (2)],18.
"When the maintenance of any Government buildings or roads is entrusted to a Local authority, the payment made to it on this account shall be treated as",Contribution,Grant-in-aid,payment to local bodies,payment to contractor.,D,[Rule: 136],19.
State whether true or false        Refunds of revenue can be drawn only on the demands and on the receipt of the person entitled to receive such refunds after production of proper authority.,True,False,,,A,[Rule: 139 (1)],20.
Departmental officers may draw amounts in lump sum on their receipt and to make payment by obtaining separate cheques in favour of the refundees or by cash where the refunds in each case are up-to,Rs. 10,Rs. 100,Rs. 200,Rs. 500,B,[Rule: 139 (2)],21.
"Ministry, Department and or Union territory may permit departmental officers functioning Under it to draw refund of revenue to certain cases in consultation with",CGA,CAG,Principal Accounts Officer concerned,Ministry of Finance,C,[Rule: 139 (2)],22.
Claim of refund of revenue may be paid out of permanent Imprest Advance provided the amount of such claim does not exceed,Rs. 100,Rs. 50,Rs. 200,Rs. 500,A,[Rule: 140],23.
"Refunds of Union Excise Duties and Customs receipts are made through cheques however, refunds may be made in cash of claim up-to",Rs. 10,Rs. 100,Rs. 200,Rs. 500,B,[Rule: Note below 141],24.
Bills for drawing money on account of refunds of revenue shall be prepared in Form,GAR 33,GAR 32,GAR 46,GAR 35,A,[Rule: 142 (1)],25.
"In cases of refund of revenue, who verifies the original credit against which a refund is claimed?",Claimant,drawing officer,Accounts Officer,Bank,C,[Rule: 142 (1)],26.
Bill for refund of passport fees in GAR 33 should be prepared in Form GAR 33 by the,Regional Passport Officer,Central Passport Officer,PAO Ministry of External Affairs,PAO of Regional Passport Office,A,[Rule: Note 1 below 142 (2)],27.
An order for refund of revenue shall remain in force for a period of,three months only from the date of its issue,six months only from the date of its issue,one year only from the date of its issue,remaining period of the Financial Year in which it is issued.,A,[Rule: 145],28.
"Types of expenditure as grants to local bodies, religious, charitable or educational institutions and compensation to Government servants for accidental losses and contributions to public exhibitions and fairs are included in",Public Loan and Advances,Grant-in-aid/Contribution,Appropriation,Re-appropriation,B,[Rule: 146],29.
bills for grants-in-aid or contributions shall be presented by the department in Form,GAR 33,GAR 35,GAR 37,GAR 34,D,[Rule: 147],30.
"The sanction Order for compensation to Government servants for accidental losses due to effect of floods, cyclones, earthquakes or otherwise should be submitted to the PAO with the bill for",pre-check payment,post-check payment,verification only,sanction order shall not be submitted to PAO,A,[Rule: 148],31.
"Bills for educational scholarships or stipend, shall be presented in Form G.A.R. 35 or in such other form as may be prescribed by authority competent to sanction such payments in consultation with",Administrative Ministry/Department,PAO concerned,CGA,Principal Accounts Officer,D,[Rule: 149],32.
"In the case of payments of stipends and scholarship to institutions under private management, such bills shall be prepared and signed by the",authorities of the institutions concerned,sanctioning authorities concerned,Administrative Ministry/Department concerned,Accounts Officer concerned,A,[Rule: 149],33.
The amounts of scholarship in respect of students awarded scholarship schemes are drawn by presentation of bills by the Ministries or Departments,authorities of the institutions/students concerned,sanctioning authorities concerned,Administrative Ministry/Department concerned,Accounts Officer concerned,C,[Rule: Note below 149],34.
The procedure with regard to payment of interest -on different forms of Government securities shall be regulated by the rules and orders contained,Government Accounting Rules,Treasury Rules,Government securities Manual,Negotiable Instruments Act,C,[Rule: 151],35.
"Bills for sums payable to the Reserve Bank, such as bills in connection with the floatation of new loans or management of Public Debt, shall be countersigned before they are paid by",an officer of Ministry of Finance,Finance Minister,President,Governor RBI,A,[Rule: 152],36.
"State whether true or false        The RBI is authorised to debit the Government Account in advance of the submission of consolidated bills for expenses incurred in connection with the floatation of Government loans, brokerage charges etc. the responsibility lies with the Government in the event of any excess payment being made.",True,False,,,B,[Rule: Note below 152. Responsibility lies with RBI and adjusted against its final bill],37.
All amounts under discretionary grants sanctioned must be supported by an order of the authority concerned stating following except,"the particular object of the expenditure, which must always be within the general purpose of the grant",the amount sanctioned for it (the grant is to be non-recurring i.e. not involving any future commitments),the person in whose charge expenditure is to be.,the details of recipient,D,[Rule: 153 (1) (i) to (iii)],38.
Pick the incorrect regarding discretionary grants,An account of the expenditure on account of discretionary grant must be rendered to the Accounts Officer concerned,"A copy of this account, without vouchers, shall also be sent to the administrative department concerned at the end of every month","Monthly submission of account is relaxed when it is estimated that the sanctioned expenditure will be completed and the account closed within six months from the date of the orders sanctioning it. In such a case, the account may be withheld till the end of the said period of six months and then sent covering the entire period.","An account must in any case be made up and rendered up to the 31st March, of each year.",C,"[Rule: 153 (3), It is three months instead of six months]",39.
"State whether true or false        When discount upon stamps is allowed by deduction from the purchase money, a detailed bill in Form G.A.R. 31 headed ""Not for payment"" shall be prepared by the concerned Officer annually for the amount of discount allowed, arid submitted to the controlling authority concerned for counter- signature and transmission to the Pay and Accounts Office.",True,False,,,B,[Rule: 156. Detailed bill every month and not annually.],40.
"Takavi works advances in the form of expenditure on Takavi works in the Public Works Department are regulated by departmental rules. Save where the estimated cost of such works are recovered in the Public Works Department, recoveries of such advances will be made by",Divisional Officer concerned,PAO of the concerned division,Collector,State Treasury,C,[Rule: Note below 161],41.
Pick the incorrect one,No officer disbursing should be allowed to draw a second abstract bill without producing a detailed bill of last advance taken.,"When refund of advance drawn of an abstract bill, the submission' of the detailed bill should not be delayed beyond the end of the month in which the advance was drawn.","Disbursing officers should take the receipts of the payees on the spot as soon as the advances have been made, and certify at the foot of the detailed bill that the advances were duly sanctioned by them and paid in their presence.",Payees' receipts need not be sent with the detailed bill and their names need not be shown in it. The detailed bill should be forwarded to the Accounts Officer in adjustment of the advance drawn.,B,[Rule: 162 (1) (b) (i). End of the following month],42.
Money limit for ' the amount which can be drawn on abstract bills by each officer with due regard to the circumstances of each case is prescribed by,Head of the Office,Head of the Department,Administrative Ministry/Department,Accounts Officer,B,[Rule: 162 (1) (b) (iv)],43.
Pick the incorrect one,The Accounts Officer shall maintain a plus and minus memorandum with which the departmental Officer should reconcile the balances as per accounts records.,"Special care shall be taken while paying recoveries into Government Account that the amount of interest and principal recovered are separately and distinctly credited, as the former must, and the latter must not, be credited in the plus and minus memorandum.",Both are incorrect,Neither incorrect.,B,[Rule: 162 (2). The former (principal) must not and later (interest) must be credited in +(-) memorandum],44.
Pick the correctly matched,Short-term advances to Govt. Servant: Form GAR 36,Long-term Advances to Govt. Servant: Form GAR 37,Schedules of recoveries of advances: Form GAR 38,Monthly abstract of recoveries of Advances: Form GAR 38A,C,[Rule: 165 (1) & (2)],45.
