question,option_a,option_b,option_c,option_d,answer,hint,srno
Government accounts are maintained on cash basis. Such book adjustments exception to this as may be authorised by any general or special orders issued by the,Central Government on the advice of the CAG,Central/State Government on the advice of CAG,Central Government on the advice of the CGA,Central/State Government on the advice of CGA,A,[Rule: 21],01.
Government accounts shall be kept in,2 parts,3 parts,4 parts,4 parts,B,"[Rule: 23. Consolidated, Contingency and Public Account]",02.
Government accounts are kept in three parts. Pick the incorrect one,Consolidated Fund of India,Contingency Fund of India,Public Account,Emergency Fund of India,D,[Rule: 23],03.
The transactions pertaining to Public Account in the case of Union Territory Governments this account shall be booked in the,Consolidated Fund of UTs,Contingency Fund of UTs,Public Account of UTs,Public Account of Central Government,D,[Rule: Note below 23],04.
"Pick the correct ones \\n(i) Consolidated Fund of India has two division namely Revenue & Capital \\n(ii) Revenue Division is divided into two parts-Revenue Receipt and Revenue Expenditure \\n(iii) Capital Division is divided into three parts-Capital Receipt, Capital Expenditure and Public Debts, Loans and Advances \\n(iv) Appropriation to Contingency Fund and inter-State settlement are dealt in Section Public Debt, Loan and Advances under Public Account in Part III",i and ii,"i, ii and iii","i, ii and iv",All of the above,B,[Rule: 23. It is dealt in Consolidated Fund],05.
"Transaction relating to debts (other than those included in Part I), Deposits, Advances, Remittance and Suspense shall be recorded in",Consolidated Fund of India,Contingency Fund of India,Public Account,Budget,C,[Rule: 23],06.
Consolidated Fund of India is divided into three sectors. Pick the incorrect one,General Service,Social Service,Health & Medical Services,Economic Service,C,[Rule: 24],07.
"In which part of the Government Account, the Sector/Sub-Sector is not distinguished by letters of alphabet",Consolidated Fund of India,Contingency Fund of India,Public Account,All of the above,B,[Rule: 24],08.
"Pick the correct ones \\n(i)Revenue Accounts (Receipt & Expenditure) : 0020-3999\\n(ii)Capital Account (Receipt & Expenditure): 4000-5999  \\n(iii) Public Debt, Loan & Advances: 6000-7999 \\n(iv) Public Accounts : 8000-8999",i and ii,"i, ii and iii","i, ii and iv",All of the above,C,[Rule: 25. 6001-7999],09.
Classification of structure of Government Accounts is made into how many tiers?,Four,Six,Thirteen,Fifteen,B,[Rule: ],10.
