question,option_a,option_b,option_c,option_d,answer,hint,srno
"For transactions on account of supplies made or services rendered by one Government to another, no monetary claims will be resorted to when the claims of the amount do not exceed",Rs. 1000,Rs. 2000,Rs. 5000,Rs. 10000,A,[Rule: 40],01.
"For transactions on account of supplies made or services rendered by one Government to another, no monetary claims will be resorted to for a claim amounting to a prescribed limit will not be applicable to the following except","claims relating to commercial departments/undertakings of a Government which are required to work to a financial result, for services rendered or supplies made to or by them.",Between the State Governments inter se,"Between a State Government and Central Government Department (including Defence, Railways, Postal and Telecommunications Departments besides Civil).",None of the above,D,[Rule: 40],02.
State whether true or false        Services shall not be rendered without being paid for to any foreign Government or non- government body or institution or to a separate fund constituted as such. Any relief in respect of payment for services rendered or supplies made to any outside body or fund should ordinarily be given through remission of dues rather than by a grant-in-aid.,True,False,,,B,[Rule: 41. Shall be given through Grants-in-aid rather than remission of revenue],03.
"For purposes of inter-departmental payments, the departments of a Government shall be divided into",Service and Commercial departments,General and Specific departments,Government and Non-Government departments,Central and State departments,A,[Rule: 42],04.
A service department shall not make charges against another department for services or supplies which fall within the class of duties for which the former Departments is constituted. Pick the incorrect one amongst the following exceptions to this rule:,"The Forest Department shall charge any other department for vegetable, animal or mineral products extracted from a forest area.",No payment shall be made for convict labour in the case of works undertaken by the Public Works Department either for the work which are treated as Jail Works or other Government works.,"The cost of additional Police Guards supplied to an Irrigation or other project while under construction shall be debited to the project concerned and the Central Industrial Security Force functioning under the Ministry of Home Affairs shall charge any other department for the cost of force provided, on such terms as may be settled in each case.",The Film Division of the Government of India shall charge any other department for the cost of production of films and other services on such terms as may be settled in each case.,B,[Rule: 43],05.
The Central Water Commission and the Central Electricity Authority shall charge commercial departments in respect of advice tendered or services rendered except in the following eases except,Where the advice tendered is based on the data already collected by the Commission or the Authority as part of its normal functions.,Where the amount of recovery does not exceed Rs. 100/-provided that the work involved is not of a recurring nature.,Both,Neither,C,[Rule: 44 (a) & (b)],06.
The cost of land acquired by a Civil Department on behalf of the Public Works Department shall be debitable in the accounts of the,Civil Department concerned,Public Work Department,both jointly,either as decided by the Government in each case,B,[Rule: Note 1 below 45. Debit to cost of work for which land is taken up],07.
"When land is taken up for two or more service departments conjointly, cost shall be wholly debitable to the",All the departments equally,All the departments according to their share,Department for which the major portion of expenditure was incurred unless there are special orders to the contrary.,Public Works department,C,[Rule: Note 1 below 45],08.
"When a special officer is employed for the acquisition of land of any department, the expenditure on pay, allowances etc. of the Special Officer and the establishment and any expenditure on contingencies is debitable to",the department to which special officer belongs,that departments as part of the cost of land.,that departments as work contingent expenditure,that departments as an office contingent expenditure,B,[Rule: Note 2 below 45],09.
"When the land is taken by a Civil Officer, not specially employed for the work, only special charges incurred in connection with the acquisition of the land on establishment, contingencies etc. shall be borne by",the department to which special officer belongs,that departments as part of the cost of land.,that departments as work contingent expenditure,that departments as an office contingent expenditure,C,[Rule: Note 2 below 45],10.
Pick the correct ones,"The Defence Service shall not be required to pay rent for buildings of the Central Civil Departments other than Commercial Departments and Undertakings, occupied by the Defence Services for non-residential purposes, nor shall rent be charged for buildings of the Defence Services occupied for non-residential purposes by the Civil Departments of the Central Government other than commercial Departments or undertakings","The Defence Services also shall not be required to pay for the use of the Government civil aerodromes and, or other incidental services rendered by the Civil Aviation Department to Indian Air Force Planes, nor shall the Civil Aviation Department be charged, as a reciprocal arrangement, for the use of the aerodromes of the Indian Air Force by the Civil Aircrafts.",Both,Neither,C,[Rule: Note 1 & 2 below 46],11.
Pick the incorrect one,A branch of a service department performing duties supplementary to the main function of the department and intended to render particular services on payment shall  levy charges in respect of the work for which it has been constituted.,"A branch of a department constituted for the subsidiary service of that department, but employed to render similar service to another department, shall charge that other department e.g. workshops of a department, Dockyards.","A regularly organised store branch of a department shall ordinarily charge any other department for supplies made; but petty and casual supplies of stores may, if the supplying department consents, be made without payment.",An Accounts Officer may permit interdepartmental adjustment in any case where such an adjustment is considered necessary in the interest of economy or of departmental control of expenditure,D,[Rule: 47. A government rather than Accounts Officer may permit.],12.
"Recoveries of expenditure for services or supplies made to non-Government parties or other Governments including local funds and Governments outside India shall, in all cases be classified as",Receipt,deposit,reduction of the expenditure,Misc. Income,A,[Rule: 53],01.
"When a Government undertakes a service merely as an agent of a private body, so that the entire cost of the service is recovered from that body, the net cost to Government being nil, the recoveries may be taken as",Receipt,deposit,reduction of the expenditure,Misc. Income,C,[Rule: Exception to 53],02.
The recoveries of expenditure between different departments of the same Government except that such recoveries as are made by a commercial department shall be classified as,Revenue Receipt,Misc. Receipt,deduction from the gross expenditure,Misc. Deposit,C,[Rule: 54],03.
The recoveries of expenditure made by a commercial department should be treated as,Revenue Receipt,Misc. Receipt,deduction from the gross expenditure,Misc. Deposit,A,[Rule: 54],04.
"Recoveries of fees for purchase, Inspection etc., effected by the Central Purchase Organisations of Government of India (e.g. DGS&D Army Purchase Organisations of the Ministry of Defence) are treated as",Misc. Income,Grant-in-aid,Receipts,deduction from the gross expenditure,C,[Rule: Exception to 54],05.
"State whether true or false        Recovery actually effected by a non-commercial department (other than the Central Purchase Organisations of the Government of India) from another Department of the same Government, irrespective of the year to which it relates, shall be adjusted in accounts in reduction of expenditure and exhibited in the schedule of recovery to be attached to the Finance Accounts of the year in which the recovery is effected.",True,False,,,B,[Rule: Note 1 below 54. Attached to Appropriation account and not to Finance Account],06.
"When a commercial department or a departmental commercial undertaking acts as an agent of another department for the discharge of functions not germane to the essential purpose of the department, the recoveries shall be taken as",reduction of expenditure,revenue receipt,misc. income,misc. deposit,A,[Rule: Note 2 below 54],07.
"Sale proceeds of materials, plant, etc. received from the old structure shall be taken as",Revenue receipt,misc. receipt,reduction of gross expenditure,Any of the above.,C,[Rule: 55],08.
State whether true or false        Receipts and recoveries on capital Accounts insofar as they represent recoveries of expenditure previously debited to a Capital Major head shall be taken in reduction of expenditure under the major head concerned except where under the rules of allocation applicable to a particular department such receipts have to be taken to revenue.,True,False,,,A,[Rule: 56],09.
Pick the incorrect one,"If a claim be relinquished, the value of the claim shall not be recorded on the expenditure side of accounts as a specific loss.","If money due to Government has actually reached a Government servant and is then embezzled, stolen or lost, even though it may not have reached a treasury or bank and entered into the Consolidated Fund or the Public Account, it should be entered in the accounts as a receipt into the Consolidated Fund or the Public Account, as the case may be, and then shown on the expenditure side by record under a separate appropriate head of account as a loss.","The term ""Government Servant"" used in sub-rule (2) of this rule includes persons, who, is borne on a regular Government establishment, are duly authorised to receive money on behalf of Government.","Where losses of Public money are wholly or partially met by non-payment of salary or pension and the Accounts Department authorisedly applies the unpaid amount to meet public claim, the resultant balance of the claim alone shall be treated as a loss, the amount due being debited to the relevant head of account as if it had been drawn and used by the Government servant concerned in paying the Public claim.",C,[Rule: Note 1 below 58 (2). Whether borne on regular establishment or not butauthorised to receive money on the behalf of the Government],01.
Losses or deficiencies of such assets shall,be recorded under separate head,not be recorded under separate head,be determined by the Accounts officer to record the loss/deficiency under separate head or not,be determined by the Head of Department to record the loss/deficiency under separate head or not,B,[Rule: 59],02.
"If any loss/deficiency categories are recorded under a Suspense head in the Government accounts,",losses or deficiencies relating thereto shall be written off the Suspense heads only.,losses or deficiencies relating shall be written off in the concerned account head only,losses or deficiencies relating thereto shall be written off the Suspense heads as well as concerned accounts head.,Any of the above,C,[Rule: 59],03.
State whether true or false The acceptance of counterfeit coin or notes shall not be regarded as a loss of cash.,True,False,,,B,[Rule: Note 1 below 60],04.
Any recovery made in the course of the year in which the losses are brought to account shall be shown as,deduction from the head under which the loss is recorded,an item of receipt,an item of deposit,an item of appropriation,A,[Rule: Note 2 below 60],05.
Any recovery made after the accounts of the year are closed shall be shown as,deduction from the head under which the loss is recorded,an item of receipt,an item of deposit,an item of appropriation,B,[Rule: Note 2 below 60],06.
"State whether true or false        Where losses are an inevitable feature of the working of a particular department, the major head of account under which the expenditure of that department is classified shall contain separate descriptive heads under which such losses shall be recorded.",True,False,,,A,[Rule: 62],07.
