question,option_a,option_b,option_c,option_d,answer,hint,srno
"The incidence of pay, leave salaries, pension etc. charges of Government servants as well as of certain other charges and receipts between different Governments are normally governed by arrangements made by",Parliament,Ministry of Finance,Central Government,mutual agreements between different Governments,D,[Rule: 63],01.
"No agreements, between two Governments governing incidence of charges and receipts shall be executed or modified without the concurrence of the",Central Government,Parliament,all the Governments concerned,central Government and all the Government concerned,A,[Rule: 63],02.
The manner in which the initial and subsidiary accounts shall be kept by the treasuries and the accounts returns to be rendered by them to the Accounts Offices shall be such as may be prescribed by the,President on the advice of the CAG,President on the advice of the CGA,Central Government on the advice of the CAG,Central Government on the advice of the CGA,A,[Rule: 64],03.
Modification of standard form according to local requirements is done by,Head of department in consultation with the Accounts Officer concerned.,Head of department in consultation with the CCA concerned,Government in consultation with the Accounts Officer concerned,Min/Dep in consultation with the Accounts Officer concerned,C,[Rule: 64],04.
"State whether true or false        In respect of such modification of standard or model forms to suit the local requirements of Governments or of changes in the accounts returns to be rendered by the Treasuries, the Accountant General will consult the Controller General of Accounts.",True,False,,,B,[Rule: 64. AG will consult CAG and not CGA],05.
Which of the following departments submit their compiled accounts to the Accounts Offices?,Public Work,Forest,both a & b,None of the above,C,[Rule: 65],06.
Modification of standard or model to suit the local requirements in case of departments of State Governments which render compiled accounts to Accounts Officer may be prescribed by,State Government in consultation with the AG,State Government in consultation with the CAG,Central Government in consultation with the AG,Central Government in consultation with the CAG,A,[Rule: 65],07.
Modification of standard or model to suit the local requirements in case of departments of Central Governments which render compiled accounts to Accounts Officer may be prescribed by,CGA in consultation with CAG,Ministry/Department concerned with CGA,Ministry/Department concerned with CAG,Ministry/Department concerned Principal Accounts Officer,D,[Rule: 65],08.
"Changes in detail of accounts returns, where the compilation is the responsibility of the AG, may be prescribed by",AG in consultation with the CAG,CAG in consultation with the AG,Central Government in consultation with the CAG,Central Government in consultation with the CAG,A,[Rule: 65 (a)],09.
"Changes in detail of accounts returns, where the compilation is the responsibility of the Ministry/Department, may be prescribed by",CGA in consultation with CCA,Ministry/Department concerned with CGA,CCA in consultation with CGA,CGA in consultation with CAG,C,[Rule: 65 (b)],10.
"Where the duties of a Government servant extend to several activities, programmes, functions etc. and it is not possible to classify ab initio his pay and allowances under the appropriate sub-heads, the charges may be classified as",Suspense account,Misc. Head of Expenditure,part of any of the scheme or activity or organisation to which the work of the Government servant relates,part of the scheme or activity or organisation to which the major portion of the work of the Government servant relates,D,[Rule: 66 (1)],01.
The transit pay and allowances of a Government servant proceeding to join another office whether permanently or temporary or on deputation shall be borne by,the office from which transferred,the office to which transferred,both the offices jointly,either of the offices,B,[Rule: 66 (2)],02.
