question,option_a,option_b,option_c,option_d,answer,hint,srno
An authority competent to incur expenditure may sanction the purchase of goods required for use in public service in accordance with provisions given in the,Delegation of Financial Powers Rules,Departmental Regulations,R&P,GFR,A,[Rule: 145],01.
The terms rate contract pertains to,Ministries/Departments,DGS&D,Ministry of Finance,Ministry of Corporate Affairs,B,[Rule: 148],02.
GeM stands for,Government Money,Government e-marketing,Government e-market Place,Goods e-market place,C,[Rule: 149],03.
Pick the incorrect one,"Up to Rs.50,000/- [Now 25,000]through any of the available suppliers on the GeM, meeting the requisite quality, specification and delivery period.","Above Rs.50,000/-[ Now 25,000] and up to Rs.30,00,000/- [Now 5,00,000] through the GeM Seller having lowest price amongst the available sellers, of at least three different manufacturers, on GeM, meeting the requisite quality, specification and delivery period.","Above Rs.30,00,000/- [Now 5,00,000 excludinf for Automobiles]through the supplier having lowest price meeting the requisite quality, specification and delivery period after mandatorily obtaining bids, using online bidding or reverse auction tool provided on GeM.",None (all of the above are correct),D,[Rule: 149 (i) to (iii)],04.
The Ministries/Departments shall l project their Annual Procurement Plan of goods and services on GeM portal within,30 days of Budget approval.,30 days of financial year,90 days of budget approval,90 days of financial year,A,[Rule: 149 (vi)],05.
Depending on the nature of the goods the supplier(s) will be registered for a fixed period between,1 to 2 years,1 to 3 years,2 to 3 years,2 to 5 years,B,[Rule: 150 (iii)],06.
If a procuring entity determines that the bidder has breached the code of integrity it may debar a bidder or any of its successors from participating in any procurement process undertaken by it for a period,not exceeding two years,not exceeding three years,not exceeding five years,not exceeding ten years,A,[Rule: 151 (iii)],07.
Purchase of goods without inviting quotations or bids on the basis of a certificate to be recorded by the competent authority up-to the value of Rupees,10000/-,15000/-,25000/-,50000/-,C,[Rule: 154],08.
Purchase of goods without inviting quotations or bids on the basis of a certificate to be recorded by the competent authority up-to the certain has been given in GFR under Rule,145,147,150,154,D,[Rule: ],09.
Purchase of goods on each occasion may be made on the recommendations of a duly constituted Local Purchase Committee costing,"above Rs. 10,000 up-to Rs.1,00,000/-","above Rs. 15,000 up-to Rs.1,50,000/-","above Rs. 25,000 up-to Rs.1,50,000/-","above Rs. 25,000 up-to Rs.2,50,000/-",D,[Rule: 155],10.
Purchase of goods on each occasion may be made on the recommendations of a duly constituted Local Purchase Committee has been referred to in GFR under Rule,151,154,155,157,C,[Rule: 155],11.
"State whether true or false       It is desirable, however, not mandatory for all Ministries/Department s of the Central Government, their attached and Subordinate Offices and Autonomous /Statutory Bodies to publish their tender enquiries, corrigenda thereon and details of bid awards on the Central Public Procurement Portal (CPPP).",True,False,,,B,[Rule: 159],12.
It is mandatory for Ministries/ Departments to receive all bids through e-procurement portals in respect of all procurements. These instructions will not apply to procurements made by Ministries / Departments through,Multinational Companies,Public Sector Undertakings,DGS&D Rate,Make in India Companies,C,[Rule: 160 (iii)],13.
Advertised Tender Enquiry should be resorted for procurement of goods of estimated value of Rupees,10 lakh and above,20 lakh and above,25 lakh and above,30 lakh and above,C,[Rule: 161],14.
CPPP Stands for,Central Public Procurement Portal,Centralized Purchase & Payment Portal,Common Public Procurement Portal,Common Purchase & Payment Portal,A,[Rule: 159],15.
"Ordinarily, from the date of publication of the tender notice or availability of the bidding document for sale, whichever is later the minimum time to be allowed for submission of bids should be",2 weeks,3 weeks,4 weeks,7 weeks,B,[Rule: 161 (v)],16.
"Where the bids from abroad are also to be obtained, the minimum period should be kept as",3 weeks for domestic and 4 weeks for foreign bidders.,3 weeks for both domestic and foreign bidders.,4 weeks for both domestic and foreign bidders,4 weeks for domestic and 6 weeks for foreign bidders,C,[Rule: 161 (v)],17.
Limited Tender Enquiry may be adopted when estimated value of the goods to be procured is upto Rupees,10 lakh,15 lakh,20 lakh,25 lakh,D,[Rule: 162],18.
Copies of the bidding document should be sent directly by speed post/registered post/courier/ email to firms which are borne on the list of registered suppliers for the goods in question under,Advertised Tender Enquiry,Limited Tender Enquiry,Multi Tender Enquiry,Two Stage Tender Enquiry,B,[Rule: 162 (1)],19.
