question,answer,srno
"(i) By sending advices to the Central Accounts Section (CAS) of the RBI, Nagpur, by the Accounts Officers. These are initially treated generally as ""Remittance transactions"" by the Civil Accountants General (ii) By actual cash settlement through cheques and drafts being exchanged between the Accounts officers concerned.",Procedure of Inter-Govt. Transactions & adjustment,01:
(i) Accounts of Inter-State Suspense' i.e. transactions between States inter-se (ii) Repayment of loan and interest to Central Government (iii) The special case of pensions (including commuted value) in respect of retired High Court Judges paid through State Treasuries or Public Sector Banks (iv) Transactions connected with RBI Remittances occurring in State Non-banking treasuries/sub-treasuries (v) Such other cases as may be specifically prescribed by the President on the advice of the CAG.,Cases of adjustment through CAS,02:
All cases other than as mentioned above.,Cases of cash settlement,03:
"All transactions adjustable through rendering advices to CAS, RBI shall initially be brought to account",8793-State 8786-Central,04:
In respect of the head Inter-State Suspense Accounts (8793) there shall be sub-heads for each State Government,,05:
In respect of Adjusting Account Between Central and State Governments for each item of credit/debit there shall be a corresponding debit/credit under the same head under the Central Section of Accounts,,06:
Central Account Section is located in,AG office,07:
Entry appearing in Adjusting Account Between Central and State Governments- Credit (Payable by the State Govt.) and Debit entry (Payable to State Government),,08:
Central transactions appearing in Adjusting Account Between Central and State Government shall be settled weekly or at other prescribed intervals without waiting for the closure of a month's account.,,09:
Such transactions should be consolidated by the AG Part-I of the Register of adjustments with the Reserve Bank in Form,AC 3,10:
"Advices for making necessary transfers of the balances between the Central and State Governments should be sent by the AG to CAS, RBI him in Form",AC 4,11:
"Other Inter-Government transactions including those relating to ""Inter-State Suspense Accounts, whether appearing in the Treasury/Department or other inward settlement Accounts, or originating in the books of the AG by transfer entries, should usually be advised to the CAS, RBI, Nagpur for adjustment",once a month,12:
Central transactions appearing in Adjusting Account Between Central and State Government is not operated in respect of,Repayment of loan & Interest,13:
"In respect of repayment of central loan & Interest, advice by the AG for crediting Head Central Accounts Office-RBI Suspense under Major Head (8658) and per contra debit to relevant public debt/Interest head",,14:
"The clearance of the Suspense head is effected on receipt of the clearance memo from the Bank, by minus crediting the suspense head ""Central Accounts Office-RBI Suspense"" per contra credit to",8675-Deposit with RBI,15:
"The Central Accounts Section, RBI will carry out the adjustments in the accounts of a month, if the necessary advices relating to that month are communicated to it not later than the",7th of the succeeding month,16:
a memo should invariably be sent to the Central Accounts Section of the Bank intimating the number and date of the last advice sent to the Bank for adjustment in the accounts of the previous month on,7th of the following month,17:
"If 7th of the following happens to be a holiday, the requisite memo shall be sent to the CAS on",Previous day,18:
"Inter-Government adjustments in respect of transaction pertaining to a financial year will not be carried out by the RBI in the accounts of that year, if the necessary advice is not sent by the",25th of April of the succeeding year,19:
"The inter-Government transactions for March should be advised in batches to the CAS, Reserve Bank by telegram on the","5th, 15th and 25th of April,",20:
"An advice of adjustment should invariably be seat to the CAS, RBI on each of these dates, a nil statement being rendered when there are no adjustments to be communicated.",Nil statement,21:
The last advice to be issued on the 25th of April should include a certificate of the AG that no further adjustment will be intimated to the Bank for inclusion in the Accounts of the previous financial year.,,22:
An inter-government transactions pertaining to a financial year that come to notice after 25th April of the following year they should be left outstanding under the head Adjusting Account between Central and State Governments,Will be cleared following year through advice.,23:
Consolidation transactions involving adjustments between the Central and State Governments through the Bank in Part I.,Register of Adjustment & Advices (AC 3),24:
The net total of the debits and credits worked out in this pat should be taken at the end of each prescribed period are taken to Part II of the register,,25:
The un-adjusted balance of the previous month under the bead 'Adjusting Account between Central and State Governments' as worked out in PART III of the Register should also be brought forward in Part II of the Register,,26:
"Adjustments between Central and State Governments which are initiated by the AG with the Bank, without passing on the transactions initially through the head should also be entered in part II",,27:
"Advice for CAS, RBI should be prepared in AC 4 on the basis of information available in Part",II of Register,28:
The credits and debits worked out in part III of the register in a month should be agreed for Receipts disbursements under the head with the,State Detail Book,29:
"The unadjusted balance at the end of the month, should be transferred to Part of the Register of the next month, for inclusion in the next advice to the Bank.",,30:
Part IlI of the Register may at the discretion of the AG be posted direct from State Detail Books (Parts I) and that case the unadjusted balance at the end of the month worked out in the Register should be agreed with,State Ledger AC27/AC28,31:
The totals of Cr and Dr appearing under the head Adjusting Account between Central and State Governments appearing in the STATE SECTION of accounts of an AG should agree respectively with the totals of Dr and Cr under the same head in the,Central Section of Accounts,32:
The advices of adjustments in Form A.C 4 relating to a financial year issued to the Bank should be numbered serially for,Each month.,33:
"On receipt of the Clearance Memo (AC 5) from CAS, RBI regarding adjustment made for the advice rendered by the AG, (i) Dr/Cr to 8675 in the State Section of Accounts and per contra Cr/Dr to Adjusting Account and (ii) Cr/Dr to 8675 in the Central Section of Accounts and per contra Dr/Cr to Adjusting Account",Clearance of head Adjusting Account,34:
the outstanding under the head 'Adjusting Account between Central and State Governments should be cleared by making deduct entries under the head on the debit and credit sides,To avoid exaggeration,35:
"Pensions including commuted value of pensions in respect of retired High Courts Judges who have Served under State Governments, subsequently recoverable from the State Government concerned, are at first instance",Charged on Consolidated Fund of India,36:
The initial payment of such pensions made through Treasuries/Public Sector Banks should be debited directly against the,Central Balance in Central Section,37:
Such pensions are shown as expenditure Charged on the Consolidated Fund of India in terms of Article 112 (3) (d) (iii) of the Constitution under the bead,2071,38:
"The actual recovery from the State Governments should be effected by operating upon the head Adjusting Account between Central and State Governments' and making adjustment with the State Governments through CAS, RBI",,39:
"Where the pensions are paid initially through a Public Sector Bank or a State Treasury located outside the jurisdiction of the State , the recovery of the pensions from the concerned State will be effected by the AG of the State in whose Central Section, the charges initially stand debited by",Operating Inter State Suspense A/c (8793),40:
All inter-State transactions brought to account in a month in the various accounts and abstracts in an AGâ€™s office should be brought together for the whole account circle in part JII of the Register of Adjustments with the Reserve Bank in Form AC 3 to work out the net debit and credit.,Clearance of Inter-State Suspense,41:
The net debit and credit so worked out under the head Inter-State Suspense Accounts' should be transferred to the relevant columns of part II of the Register after agreement with,the Detail Book,42:
Advice to RBI for effecting adjustment for Inter-State Suspense Account is prepared in Form,AC4,43:
"Copies of the advice supported by schedules, vouchers and other papers' should be forwarded to the Accountants General concerned to enable them to incorporate the transactions in their books.",,44:
"On receipt of Clearance Memo (AC 5) from the CAS, the AG who initiated the adjustment, should clear the outstanding in his accounts by",(-) Dr/Cr-8658 Cr/Dr-8675,45:
"When a copy of the same intimation is received by the other AG concerned, he should make an adjustment in the STATE SECTION OF HIS ACCOUNTS under the head Central Accounts Office-Reserve Bank Suspense by per contra debit or credit to the head 8675-Deposits with Reserve Bank-Reserve Bank CENTRAL ACCOUNTS OFFICE",,46:
Part III of the Register may at the discretion of the AG be posted direct from State Detail Books (Parts I) and that case the unadjusted balance at the end of the month worked out in the Register should be agreed with,State Ledger AC27/AC28,47:
"The CAS, RBI will send to each AG a statement showing the sum total of adjustments made against the Central balance at his instance, together with a statement of closing balances of the State for the respective month by",25th of the following month March-10th May,48:
The accounts through which the transactions are initially accounted for under the head 'Inter-State Suspense Accounts and reported by one AG to the concerned AG are known as,Settlement Account,49:
(i) Outward Settlement Account- for the AG who despatches (ii) Inward Settlement Account- for the Ag who receives,Types of Settlement A/c,50:
"Where there are no transactions against a particular State during a month, a 'NIL' outward settlement account should invariably be despatched to the AG or AO concerned.",Nil Outward Settlement A/c,51:
The Outward Settlement Account shall be prepared in Form,AC 6,52:
The Outward Settlement Account shall consist of a copy of the monthly advice of adjustments sent to the RBI supported by schedules of credits and debits and connected vouchers or other documents working up to the net credit or debit advised to the RBI,,53:
The schedules accompanying the Account with suitable modifications may be prepared in,AC 7,54:
All transactions should be detailed in the schedules accompanying the settlement Account but in the case of cheques and remittances of Public Works Officers it should be sufficient to state the amount paid or received at each treasury on account of each Public Works Division,,55:
The schedules should be supported by treasury consolidated receipts and paid cheques,,56:
Public Works Outward items which represent charges for work done should be supported by certificate in a form prescribed by the,President on advice of CAG,57:
In respect of Provident Fund transactions the particular should be furnished to Account Current in separate subsidiary schedules in AC 8 by,Departmental audit & Other Sec,58:
Personally responsible to see at the time of signing the settlement Account that subsidiary schedules and the covering list have been duly attached in proper form is,Branch officer of Account Current,59:
"If the Accountant General the account finds any item which he cannot accept, he should re-credit or re-debit it to the originating Accounts Officer after obtaining his consent","Where clear, no need of consent",60:
Net receipts payments only shall be entered in the account passed on to the other party to the Settlement Account.,And not Gross,61:
When a charge is paid in one account circle and is passed on through the settlement Accounts to be another circle responsible for obtaining a voucher which is correct in point of form shall be,the AO of the paying circle,62:
Where the AG of the Government which renders services or supplies stores to another Government should take credit for the supply in his accounts and initiate necessary adjustments against the balance of the other Government.,,63:
"Cash remitted into, or cheques drawn on treasuries in a State by Public Works and Forest Officers belonging to another State should be brought to account in the accounts of those officers under the head",PW Forest Remittances (8782),64:
"Dr and Cr under this head cleared by the AG to whom the Public Works and Forest Officers render accounts, when the corresponding credits and debits received through the settlement Account.",,65:
When a State AG receives intimation that an advance has been paid in another State to a Government servant under his audit control he should,Credit 8658 Suspense A/c,66:
"If any voucher/particular are wanting or if an item is not prima facie adjustable against the State, the necessary particulars in respect of such items should be entered in an objection Book in Form A.C. 10 and the objection is communicated to the other AG through an objection Statement",Disposal of Inward Settlement,67:
Individual items of credits and debits included in the schedules etc. should be posted in consecutive series in two Inward Adjustments Registers in Form A.C. 11 one for credits and the other for debits,,68:
"The items of Public Works and Forest receipts and payments which are adjustable in the Divisional the Accounts being shown in lump as single entries under bead ""P. W. Remittances"" or ""Forest Remittances"" as case may be, after obtaining the classification etc. from the Audit Sections concerned.",,69:
"In respect of items which are adjustable under heads which have been opened in departmental abstracts, Suspense slips should be prepared in the form A.C. 12",,70:
The Suspense slips should be entered in an outward Suspense slips Register in Form AC 13 and the suspense slips together with supporting vouchers or other documents should then be sent to the Departmental Auditor concerned for necessary adjustment in the Departmental Abstract,,71:
"On receipt of Register of Suspense Slips duly signed by the Section Officer, column of Inward Settlement Register should be posted",Column 4 to 8,72:
"Items which are susceptible of adjustment, but cannot be treated as finally settled and placed under objection should be posted in Inward Settlement Register in columns",Column 6 to 8,73:
"Items held under objection not adjustable by the State and those which are prima facie adjustable in the books of the State, but vouchers or particulars to determine the Major bead or Department against which the items are to be adjusted, are not available should be classified under the Head",8658 Suspense Accounts-Civil- Unclassified Suspense,74:
"Items in respect of which the Department or Major head is clear from the schedules, but full particulars or vouchers are not available to determine the minor and detailed heads of account should be adjusted under the",relevant Deptt Adjusting A/c or other head,75:
"After verification that each item in the Adjustment Registers has been classified, the total of the column 'Adjusted' should be struck, and the difference between the totals of the debit and credit Adjustment Registers should be worked out and agreed with the net credit or debit advised in the Inward Settlement",,76:
This difference should be adjusted as deduct entry Account under the head 'Central Accounts Office-Reserve Bank Suspense' in the relevant Adjustment Register,,77:
The amount adjusted from the Adjustment Register should be posed in Settlement Account Abstract in Form,AC 14,78:
Settlement Account Abstract shall be posted only from the Adjustment Register and not from the schedules accompanying the inward account or from any other documents,,79:
Every item which is not finally disposed of should be entered in an objection statement (AC 15) and in the objection Book (AC 10) with suitable modification,,80:
The serial numbers of items of previous months still outstanding should be entered at the beginning of each objection statement and the objection Book.,,81:
The debit items should be entered first and then the Credit items.,,82:
The procedure for the upkeep of the objection Book and for watching the adjustment of items entered in it will be such as may be prescribed by the CAG,,83:
Major Head for Reserve Bank of India Remittance,8782,84:
The receipts and payments on behalf of the RBI are required to be cleared with the Bank DAILY and the accounts of the month in which the transaction originates,,85:
Schedules of receipts and payment received from treasuries and sub-treasuries should be listed in a special form of advice prescribed by the,RBI,86:
The list should be prepared in duplicate by carbon process.,,87:
"One copy of each list accompanied with Schedules, vouchers etc. should be forwarded to the CAS, RBI and other is retained as office record",,88:
"For adjustment of transactions of particular month in the same month, all advices relating to that month should be communicated to the Bank not later than the",7th of following month,89:
The total debits and credits as worked out in the lists should be posted in part III A of the Register of Adjustment with the Reserve Bank in Form,AC 3,90:
On receipt of intimation of adjustment from Bank and suitable entry in Part IIIA of the Register of Adjustment with the Reserve Bank,Dr/Cr-8675 Cr/Dr-8782,91:
"At the close of the month, net debits and credits so worked out in Part III A of the register should be agreed with the corresponding figures under the head ""Reserve Bank of India Remittances' in the",Detail Book,92:
"The agreed debits and credits should then be posted in lump in the appropriate column at the end of Part IV of the Register and should agree with the net adjustment under the head ""8675-Deposits with RBI Central Account Office",,93:
"The discharge of payments of interest on Central Govt. Security, Promissory Notes etc. occurring in State Treasuries",Examples of Inter-Govt. transaction for cash settlement,94:
"Expenditure and receipts on National Highways, occurring in State Public Works, Roads or Highways Divisions, which are initially brought to account as State transactions by the AG under PAO Suspense and adjustable by PAO National Highways"".",,95:
"Certain receipts like welfare cess on Coke or Coal (despatched otherwise than by Railways) occurring in Bihar Treasuries which are adjustable in the accounts of Ministry of Labour, GoI.",,96:
"Recoveries (GPF, HBA, Conveyance) initially effected from pay bills of Central Government employees on deputation with State Governments",,97:
Pension transactions of Railways and Defence and other Defence transactions occurring directly in State Treasuries,,98:
"For cash settlement, a Register of Outward Claims shall be prepared in where separate folios or sets of pages are utilised for each Pay and Accounts Office or other Accounts Office of the Ministry Department concerned",AC 16,99:
The register should contain minor/sub-head of the appropriate Suspense' head under which the transactions in the initially accounted for in the State Section of accounts in the relevant Classified Abstracts/Detail Book,,100:
"If an account closes with a balance due to a PAO/Accounts Office, a Bank draft should be obtained in requisition in Form",AC 17,101:
"Bank draft should be forwarded with the concerned schedules, vouchers etc. to the PAO/AO concerned through a special letter in Form",AC 18,102:
"if an account closes with a balance due from a PAO/AO, a cheque or a Bank draft should be requisitioned from the PAO/AO concerned sending the claims with supporting vouchers schedules etc. with a special letter in the form",AC 16,103:
"On receipt of the Bank draft Cheque, the same should be sent to the Agency Bank accredited to the Headquarters treasury of the AG for credit to Government Account with a Credit Slip indicating the relevant Suspense' head of account in the slip in form",AC 19,104:
Bank drafts cheques when received either from the Bank or from PAO/AO should first be noted in a,Register of Valuables,105:
"AG should maintain suitable Broadsheets under the various Suspense' heads connected with Inter-Government adjustments such as PAO Suspense, TDS Suspense",,106:
"For transactions pertaining to a State Govt. occurring in PAO/AO, the necessary claims or cheques/bank drafts, as the case may be, shall be sent to the AG concerned at such prescribed intervals not exceeding",One month,107:
"The claims/Bank drafts received will be posted by the AG in an ""Inward Register"" with separate set of pages/folios being set apart each month in the Register for each PAO/AO in",AC 20,108:
The claims are required to be settled within 7 days of receipt of each 'such claim and in any case before the 10th of the second succeeding month to which the claims relate,,109:
"In respect of claims for the month of March , settlement of claims should be effected by the",15th April,110:
For this requisition for purchase of Draft in Form AC. 17 will be sent to the agency Bank accredited to the State Headquarters treasury of the AG indicating the debit of the same to the Government Account as head,Reserve Bank Suspense (H.Q.),111:
"The details of schedules etc. accompanying the claims or bank drafts/cheques received should simultaneously be posted in separate ""Adjustment Registers"" for Credit/Debit in Form A.C. 11 by treating them in the same manner as those of ""Inward Settlement Accounts are dealt accordingly",,112:
"The initial debits credits under ""Reserve Bank Suspense (H.Q.)"" for purchase of Draft shall be adjusted on the basis of the Bank's scrolls rendered to the Headquarters Treasury of the State, will get paired and squared corresponding minus adjustments",,113:
AG should maintain suitable Broadsheets for watching the outstanding and the eventual clearance of transactions routed through the Suspense head RBI Suspense (HQ),,114:
"With certain exception, no monetary settlement will be resorted to in all cases of claims in each case for transactions on account of supplies made or services rendered by one Govt. to another not exceeding",1000/- GFR 2017- 10K,115:
Claims relating to Commercial Departments/undertakings of a Govt. which are required to work to a financial result for services rendered or supplies made to or by tem,Exception where no relaxation to Monetary Settlement,116:
"Incidence of charges i.e. leave salary, pension etc. arising out of inter-Government deputation of individual Govt. servants",,117:
The AG of States are not normally authorised to debit the Central Government by sending advices to the Reserve Bank,,118:
"However, AG can withdraw amount erroneously credited to Central Govt. an account of repayment of loans and interest in an earlier advice by sending supplementary advice to CAS, RBI with a requisite certificate in this regard.",,119:
It is also certified that withdrawn are being furnished to Chief Controller of Account/Principal Accounts Officer of Central Ministry/Department concerned,,120:
"Though the Union Territory Governments with legislature have separate consolidated funds of their own, they have no separate balances with the Reserve Bank, such balances being treated as Deposits with the Central Government under the head """,8450 Balance Account of UTs,121:
"Hence, for the payments of Grants/Loans by the Central Ministries Departments to the UT and its repayment by the UT is settled through cash settlement rather than issuing advice to RBI",,122:
In respect of UT Govt. whose accounts have not been departmentalised the AG concerned will operate the several minor heads connected with the Cash Settlement with the PAO of Central Ministries/Departments under Major Head,8658 Suspense,123:
The income tax recoveries effected from the bills paid by the treasuries/State Govt./HQ PAO/State Government departmental office rendering compiled accounts to the AG shall be classified under,TDS Suspense (8658),124:
"After the monthly accounts are closed, a cheque duly supported by a Statement in duplicate for the total amount booked under the TDS Suspense shall be sent by the AG to the concerned Zonal Accounts Officer of the CBDT.",,125:
Statement shows the figures pertaining to each treasury/PAOs/Departmental officer rendering compiled accounts to AG.,,126:
