question,answer,srno
"Under the scheme of Departmentalization of Accounts, the be the Chief Accounting Authority of Min/Dept. concerned is",Secretary concerned,01:
The Chief Accounting Authority discharges his functions through and with the aid of the,FA/Pr. CCA/CCA,02:
Responsible for the compilation and consolidation of the accounts of the Ministry in the prescribed form and their timely rendition to the CGA is,Financial Advisor & Pr. CCA/CCA/CA,03:
"Responsible for the preparation of Annual Appropriation Accounts for the Demands for Grants of the Min/Dept., getting them duly audited and submitting to the CGA, duly signed by the Chief Accounting Authority/",,04:
Responsible for arranging payments through the PAOs/ the Pr. Accounts Office and the cheque drawing DDOs and is also responsible for arranging internal audit under the scheme.,,05:
"Responsible to prepare budget estimates, revised estimates etc. and their subsequent transmission to the budget division in the Ministry of Finance.",Financial Advisor,06:
The Head of Accounting Organisation in the civil Min/Dept. is,Pr. CCA/CCA/CA,07:
Pr. CCA/CCA/CA functions under the overall supervision and control of the,FA concerned.,08:
Pr. CCA/CCA/CA is also known as,Pr. Accts Officer.,09:
Any addition to the list of cheque drawing DDOs included in the Scheme of Departmentalisation of Accounts of a Min/Dept. is however required to have the specific approval of,The CGA,10:
Consolidation of the accounts of the Min/Dept. in the manner prescribed by CGA;,Responsibility of Pr. Account Officer,11:
"Preparation of Annual Appropriation Accounts of the Demands for Grants controlled by that Min/Dept.,",,12:
submission of Statement of Central Transactions and material for the Finance Account of the Union Government (Civil) to be sent to the CGA,,13:
Payment of loans and grants to State Governments through Reserve Bank of India or otherwise,,14:
"Preparation of manuals keeping in view the objective of management accounting system if any, and rendition of technical advice to PAOs.",,15:
Maintaining Appropriation Audit Registers for the Min/Dept. as a whole,,16:
All receipts of the Min/Dept. shall also be finally accounted for in the books of the,PAO concerned,17:
"For creation or re-organisation of a new PAO, the specific approval would have to be obtained from",CGA,18:
"Under the departmentalized accounting system, the receipts and payments of each Min/Dept. of the GoI are handled by the RBI or the Public/Private Sector Bank/s nominated for the particular Min/Dept. by the,",RBI on advice of the CGA,19:
The Section of the RBI that opens a bank account for Min/Dept. is Department of Government and Bank Account (Central Office),Mumbai,20:
"In favour of any newly constituted PAO or the CDDO, as long as the account is to be opened in the accredited bank without any change involved in Focal Point Branch, the RBI, Department of Govt. and Bank Account (Central Office) Mumbai may be approached by",Pr. CCA/CCA/CA,21:
"In a different branch of the accredited bank from a specified date with simultaneous closing of existing account in a branch, on account of administrative reasons like proximity of the branch etc.",,22:
"Will send to the branch with which he is placed in account, the specimen signature of the Accounts Officer/ Officers who are authorised to sign as second signatory",PAO,23:
"An independent officer, preferably higher in rank and whose signature is available with the bank, should duly countersign the specimen signature of the PAO authorized to sign cheques.",,24:
"he Principal Accounts Officer will obtain supply of cheque books required for use by the PAOs from the Central Stamp Store, ISP, Nasik Road or the accredited bank concerned wherever so authorized by","the CGA,",25:
The officer authorised to sign cheques will intimate to the paying branch of the bank the number of the chequebook and the number of the cheque forms included therein whenever a new chequebook is brought into use.,,26:
"In cases where the PAO goes out of station and no substitute can be arranged in his place and there is need for making arrangements for drawal of cheques, Pr. AO may authorise",Senior Most Asst. /Jr. Accountant,27:
"Where a Senior Most Asst/Jr. Accountant has been authorised to sign cheques for the specified period of the absence of the P.A.O, the PAO on his return will verify the bill passed or cheque drawn and renders a certificate to this effect to",Pr. Accts Officer,28:
"When PAO is on leave but locally available and no substitute is available, signing the cheque/bill will be done",PAO (may),29:
Payments of loans and grants to State Govt. and repayments of loans/payment of interest by State Governments are effected by the issue of advices to,"CAS, RBI Nagpur.",30:
"When advice is issued to CAS,RBI for payment of loan and grants to State Govt. by the Pr. AO of Min/Dept., the head operated upon is",Cr-8658-Sus RBI & Dr- 6004 or 7601,31:
"When intimation for credit to State Govt. concerned from RBI is received, the accounting by the Pr. AO will be",(-) Cr. 8658 Cr 8675,32:
"When intimation from CAS, RBI is received regarding credit of its account on the advice of a State AG, the accounting",(-) Dr 8658 Dr. 8675,33:
When details of transaction are received from the State AG concerned,Dr. 8658/Cr. 6004/7601,34:
"All advices for payments of the type through issue of advices to CAS, RBI should be entered in a register in form",CAM 65,35:
Clearance memo received from RBI regarding crediting the account of Min/Dept. shall be entered in,CAM 17A,36:
Monthly total under column 3 of the register in CAM 65 should be entered as credit against the head '8658 Suspense accounts-Reserve Bank Suspense (Central Accounts Office) in the classified/consolidated abstract.,,37:
No balance should remain outstanding under the head 'Reserve Bank Suspense' at the close of the accounts of a financial year.,8658,38:
"On receipt of the daily intimations of receipt and payment relating to each Min/Dept. from the Link Cell of the Public Sector Bank, the CAS, RBI, Nagpur, will effect necessary settlement and, inter alia, work out daily balance of the Govt. of India.",,39:
"The CAS, RBI Nagpur shall maintain a separate proforma account called ""Departmentalised Ministries' Account in the General Ledger.",,40:
"The CAS, RBI, Nagpur shall furnish Min/Dept.-wise balance for each month to the concerned Pr. CCA/CCA/CA of the Min/Dept. including the monthly transactions.",,41:
"responsible for clearance from the Public/Other Nominated (Private Sector) Bank Suspense head, for the figures reported by CAS, RBI regarding balances (total receipt/payment) transferred from RBI offices representing transactions during the month in respect of that Min/Dept.",Pr. Accts Officer,42:
responsible for effecting the necessary agreement of these figures in the Min/Dept. wise balances with the figures under the Reserve Bank Deposits appearing in the monthly account rendered by them to the Office of the CGA,,43:
The final adjustment for transferring the amount from the head '8675-Deposits with Reserve Bank'to'8999-Cash Balance' will be done by the,CGA,44:
The responsibility for effecting reconciliation the balance of the Central Government as a whole with Reserve Bank will be that of the Office of the.,,45:
