question,answer,srno
No adjustment will be made in the general account in respect of past transactions in case of transfer of a work from productive to unproductive and vice versa but the necessary transfer will be effected by,the Pay and Accounts Officer in the Proforma Accounts of works in question.,02:
The expenditure on productive work is recorded in two sections,Capital & Revenue charges,03:
"Where desirable and possible to maintain accounts on a quasi-commercial basis the expenditure on unproductive work should be recorded in Capital and Revenue sections. When however, a work of this class, is too small to make it worthwhile to maintain a separate account of it on such a basis all expenditure on it is treated as","a revenue charges, the work being classified as non- commercial",04:
"In case of renewal and replacement which does not represent a substantial improvement of the original work, but which is in all material essentials the same as the latter, although it may exceed the cost of that work by more than Rs.1,000/- should be charged to",Revenue account (not be charged to Capital),05:
"When land is taken up for two or more of these sub-divisions at the same time, its cost must be",divided in the best way practicable,06:
"In case of Water course, the head special Tools and Plant is further sub-divided into three detailed heads namely",(i) Gross Expenditure (ii) Deduct recoveries (iii) Net expenditure,07:
The general rule is that all recoveries of expenditure will be taken as,Reduction of exp. under the concerned Service head irrespective of whether they relate to overpayments pertaining to the current year or to any previous year.,08:
"all recoveries of expenditure made from non-Govt., other Govt. and commercial department of the same Govt. will be taken as",,09:
"(i)                  Recoveries on account of establishment and T&P (a) Recoveries of establishment charges & TP on percentage basis Others Dept. of union Govt.-deduction from expenditure (Minor head Direction and Administration & TP respectively) Other Govt., Local Bodies and private parties- Revenue receipt",,10:
Pro-rata share of charges for joint Establishment and T&P- Calculated at the end of the year - Reduction of exp. Under D& A and T&P respectively),,11:
"When the recoveries on account of establishment charges include, as a distinct and separate factor, an element of the charges for leave and pensions, the portion of the recoveries representing leave should be treated",as revenue receipts under the Public Works major head concerned,12:
Recoveries on account of pensionary contributions should in the case of ‘Civil Works’ be credited to,71,13:
Recoveries on account of pensionary contributions should in the case of ‘Irrigation Department’ be credited to,Major Head concerned (701/702 or 4701/4702 in case of work of revenue or capital nature as the case may be),14:
"In cases in which the rates for leave and pension contributions are combined, the recoveries in the case of Civil Works, should be taken to",“0071 – Contributions and Recoveries towards Pension and Other Retirement Benefits”,15:
"In cases in which the rates for leave and pension contributions are combined, the recoveries in case of Irrigation department, should be taken to",Major Head concerned as revenue receipt,16:
True or False Receipts and recoveries on Capital Account should be taken in reduction of expenditure under the major head concerned. For convenience of accounting they should be treated as revenue receipts in the first instance and booked as “Receipts and Recoveries on Capital Account.” At the end of the month they should be deducted from the account of the division or sub-division of the major head concerned in a lumpsum.,True,17:
"The recoveries of expenditure which are finally creditable as revenue receipts, should be recorded under the minor head “Recovery of Percentage charges” of the major head","“0059” or “0071” as the case may be,",18:
"Receipts on account of sale proceeds of land, buildings, special tools and plant or other assets purchased or constructed as the cost of special project may be taken in reduction of expenditure under the appropriate sub-heads subordinate to the capital major head concerned at the discretion of",The Government,19:
"Recoveries on account of cost of audit and accounts when they are made in connection with work done for Railways, Defence Services, Postal or Telecommunication Department should be treated as",Reduction of expenditure under “2016 – Audit”,20:
When work for other departments under the same Govt/other govt.,Not to be charged,21:
NA,,22:
"In the case of work done for non-Government bodies or individuals, such recoveries should be adjusted as",Receipts the major head “0075 – Miscellaneous Administrative Services.,23:
"True or false the per percentage charges for work done in workshops of a quasi-commercial character for other Divisions and departments both under the Union Government and other Governments, include recoveries in respect of audit and",False. It should not be credited to 2016/0075 (Note 2 under Rule 7 of Appendix 4),24:
accounts charges; such recoveries should be credited to “2016 – Audit” or “0075 – Miscellaneous Administration Services – Fees for Government Audit”,,25:
"Recovery of outlay on water-courses where such recoveries have to be set off against the outlay, may at the discretion of Government, be taken in","Reduction of expenditure under the sub-head, “water-courses.”",26:
"The Accounts Officer, with a view to watch the progress of the recoveries, may be required to maintain a suitable proforma account without disturbing the booked accounts of receipts and expenditure for",Expenditure recoverable by general levy when the actual cost are required to be set off against the outlay.,27:
The form of account being determined by PAO in consultation with,the Administrative Ministry/ Administrator concerned.,28:
"True/False It will ordinarily be found sufficient to keep an account merely in respect of the works outlay, the annual recoveries being distributed rateably, as between works, interest, etc on a fixed basis determined once for all.",True,29:
Establishment charges for WE including Work-charged staff converted into regular Establishment should be charged to,the account of the work or subwork concerned.,30:
"Establishment Charges for purely revenue establishment (zilladars, Amins, etc) employed entirely on the management of irrigation, etc., works and on the assessment etc of connected revenue should be charged to","the sub-division “Working Expenses” of the major head “2701 – Major and Medium Irrigation etc.” works (Commercial) or (Non- commercial), as the case may be.",31:
"Establishment Charges for Establishment employed for temporary period on famine relief works, should be charged to",Major Head 2245,32:
Establishment Charges for Establishment employed in workshop of the quasi commercial character,Account of the workshop,33:
"The cost of special tools and plant i.e., tools, plant, machinery, etc., obtained to meet the special requirements of a particular work or project and of a nature not usually to be found in the general stores of the Administration should be treated as",A direct charge to the work or project.,34:
The cost of special tools and plant for a quasi-commercial workshop,Accounts of the workshop,35:
The cost of tools and plant required for famine Relief Work should be treated as,Special (Direct charge) 2245,36:
"The “gross expenditure” on the common establishments, of PWD Buildings and Road Branch, will be recorded",under the Minor Head “Direction and Administration” below “2059,37:
The distribution of charges from above gross expenditure is made in two stages (i) Stage I- In respect of Est. charges related to capital major head on a percentage basis  (ii) Stage II- In respect of Est. charges related to works charged to Major Head 2216 and 3054,,38:
The rate of Percentage for transfer from gross expenditure to capital head should be determined by the Govt so as to remain current for at-least,3 years,39:
"In respect of establishment charges relatable to works done for other Governments, Local funds, private parties etc, recoveries will be made on percentage basis to be determined by Government and credited to","the Major Head “0059 – Public Works – Other Receipts”, as revenue",40:
"Accounting entry for distribution of Stage I Debit appropriate object head such as building, est. under capital head Credit (minus debit) 2059- Deduct Est. charges transferred on % basis to capital major heads",,41:
Accounting entry for distribution of Stage II (Pro rata basis at the year end) Debit 2216 & 3054 D&A Credit (minus debit) 2059- Deduct Est. charges transferred Pro-rata to Housing and Roads & Bridges,,42:
"True or False Departmental Charges, including pensionary and audit charges should be levied on all works, the cost of which is met from the detailed head “Grrants-in-aid” under the relevant programme minor head under the Major Head “2059 – Public Works",True,43:
For works executed by the Central PWD the percentage rates for establishment are fixed with effect from 1984-85,,44:
"For other works, Administrative Ministry/Administrator concerned are authorized to fix the percentage rates in consultation with the Accounts Officer, on condition that the percentages so fixed are",not less than the actual average cost per Rs.100 of outlay on works in the Adm. Min/Administration concerned during the previous 5 years.,45:
"The percentage fixed as above should be examined and readjusted, if necessary,",once in every 3 years after consultation with the AO.,46:
"True/False When only some of the operations necessary to the completion of a non- Government project are undertaken at one time different percentages may, if desired, be adopted for each operation, provided that if subsequently the remaining operations are undertaken, the aggregate recovery is equal to the full charge leviable under this rule.",True,47:
The prescribed percentages may be remitted by the Administrative Ministry/Administrator concerned in the case of non- Government works costing less than,1000,48:
"the Administrative Ministry/Administrator concerned are authorized to sanction a cash contribution in favour of a local body upto the actual amount of establishment and tools and plant etc., charges leviable under Rule",In the case of works costing Rs.1000 and over,49:
True/False,True,50:
"For works done in workshops which are of a quasi-commercial character, percentage charges should be levied in all cases, i.e., even when work is done for P.W.Divisions of the same Administration",,51:
The percentage are leviable on the,"actual outlay booked in the accounts i.e., on the net outlay where there are any refunds or writes back.",52:
"No item of expenditure should be excluded from the levy on the plea that it involves little or no departmental supervision, etc, but the prescribed percentage charges for tools and plant should not be levied in the case of non-Government works on which tools and plant of the department are not used.",True. (T&P charges may be excluded if not used),53:
"In the case of workshops of a quasi-commercial character, any other work, for which special establishment is entertained, the Administrative Ministry/Administrator concerned on a consideration of the special features of each to cover supervision charges thereon may fix made an addition of such percentage, limited to",5 percent of the cost of this establishment,54:
"The cost of special tools and plant (such as cranes, etc) and debited to a single head in the accounts may be distributed over the several sub-heads of works in accordance with such methods as the Administrative Ministry/Administrator concerned may determine in consultation with the Accounts Officer. Depreciation as well",True,55:
(a)  Adoption of composite rate of exchange The month in which payment was made in High Commission/Embassy abroad If month not known then the month in which store despatched by High Commission/Embassy abroad (Provisionally),,56:
On arrival of store Debit work concerned/stock as the case may be,,57:
Credit MPSSA under 8658,,58:
When debit for payment made in High Commission/Embassy abroad Debit (Minus credit) MPSSA Credit Remittance 8782,,59:
"In case the debit for the payments made in High Commission/Embassies abroad is received before the arrival of the stores, it should be accounted should be operated upon,","Under the Suspense heads within the accounts of work concerned or Stock viz., “Contractors – Other Transactions/Advance Payments”",60:
A surcharge at the rate fixed by Government from time to time is added by the High Commissioner for India to the invoiced price (including freight) to cover,departmental expenses and marine insurance,61:
"When under special arrangements, the contractor undertakes to deliver stores at an Indian Port and not at the Stores Offices abroad the surcharge leviable will be only for departmental charges.",,62:
The extra charge for marine insurance covers the risk and losses during the voyage to India and not losses between the ship’s side and the shore.,,63:
The transactions relating to stores procured abroad should be recorded in Form,Form CPWA 67 Suspense Register under Stock or Specific work as the case may be,64:
