question,answer,srno
Departmental charges are levied on per ___(ten/hundred etc) basis,Per hundred basis,01:
Percentage charges for Audit and Accounts levied on works done by a CPWD for private parties will be accounted in __(major head),"0075/2016 for Railways, MoD, Post & Telecommuication",02:
Capital invested to a work or project includes __,"Direct charges, indirect charges and all arrears of simple interest",03:
In pro forma account of irrigation and navigation project Betterment Levy is taken as ___,Reduction of indirect capital expenditure,04:
A productive project or work is said to be so when __,Capable of repaying the annual interest on capital invested within 10 years after probable date of completion,05:
A productive work shall be classified as unproductive,When fails to yield relevant returns in 3 successive years after productive period,06:
"When the construction estimate of a project (commercial) is closed, the expenditure on addition, extension or improvement will be charged to capital when amount exceeds ___(other condition)",1000/-(charges should be remunerative in themselves and when not remunerative it is considered necessary for development of project),07:
All estimates which are neither remunerative in themselves or considered necessary for the development of the project shall be charged to ___(capital/revenue/contingency),Revenue Account,08:
Works outlay on water course incurred by PWD and recoverable by a general levy in the lump sum recovery of cost in one or more year shall be shown in ____account (cap/rev etc),As a receipt on capital account,09:
Sale proceeds of Materials received from dismantled structures shall be treated as ____,Reduction of expenditure,10:
In case of doubt who will decide whether any item of tools and plant should be classified as ordinary or special.,CE or competent authority,11:
Departmental charges applicable on all maintenance and minor works of Rs. 1 lakh is ___%( bifurcation),"23 Â¾% (Est-22 Â½%, T&P- Â¾%, Audit & Pensionary- Â¼%)",12:
Major head for capital outlay on Power Projects is ___,4801,13:
Composite rate of exchange is fixed by ___,Ministry of Finance,14:
A surcharge to cover departmental expenses and marine insurance to the invoiced price is added by __,High Commissioner for India,15:
The cost of land acquired by the Civil authorities on behalf of PWD is debitable in the accounts of ___(deptt),PWD (as a part of cost of work),16:
The percentage leviable on Deposit works should be adjusted on a _____basis.,Month by month,17:
"True/False Works pertaining to Irtigation, Navigation and Drainage Works (commercial) are also treated as a part of NonGovernment Works.",False,18:
"Once an Irrigation & Navigation project declared as a productive one, the minimum period for which it should be shown as productive",13 years (10+3),19:
"If the month of payment is not known for the stores received from abroad, the composite rate of exchange should be adopted provisionally for __(time/period)",The month in which the stores were despatched from High Commissioner/Embassies abroad.,20:
Percentage of Departmental charges leviable when construction works costing up to Rs. 2 crore is ___(bifurcation),"12% (Est- 10 Â¾%, T&P- Â¾%, Audit & Pensionary- Â¼%)",21:
The rate of Departmental charges applicable for Govt works and autonomous bodies fully funded by the central government is ___,NIL. No DC is chargeable.,22:
An advance of Rs. 25000/- was given by Div A to Div B for supply of store. State the head to be dr/credit.,Dr. Suspense (799) Store/Service Advance under 2059/4059 as the case may be Cr. 8782,23:
"Charges on account of restoration of damaged caused by extraordinary casualties such as flood, fire should be debited to __(capital/revenue/special)",Capita Account,24:
Sale proceeds of materials received from dismantled structures when the estimates for works does not make allowance for such recovery shall be treated as ___,Reduction of expenditure (-) debit,25:
Applicable percentage on account of Audit and Account charge when construction works cost more than Rs. 5 crore is ___,Â¼%,26:
The component(s) of Departmental Charges which remain fixed irrespective of nature and cost of work is/are __,Audit & Account and Pensionary charges @ Â¼% each,27:
The general business on behalf of the central government is carried out by RBI under the provision ___,Section 21 of RBI Act 1934,28:
A project classified as productive one will retain its classification unchanged during ___years after the closure of its construction estimate.,11th to 13th,29:
Recoveries of T&P from other dept of Union Govt shall be adjusted as ___,Reduction of Exp under Minor Head T&P,30:
Charges on account of general establishment should be classified under the head __,Minor Head Direction & Administration Major Head 2059,31:
The basis for determining the slab for levying the establishment charges shall be ___,Estimated cost subject to actual adjustment on exp. incurred,32:
True/False No share of general charges on account of Est. and T&P should be included in the actual cost of works chargeable against the Central Road Fund.,True,33:
Accounting entries when advance payment received by supplying division.,(-) Dr. to sub head Store Supplied/Services Rendered and Dr. Remittance 8782,34:
The expenditure incurred by DO on behalf of Cabinet Secretariat/MoD will be booked under the head __,Cash Settlement Suspense Account 107/8658,35:
The receipt of the dept arising abroad should be passed on the to ___by __,PAO of MEA to PAO of Min/Dept,36:
Provision of the average rate of exchange has been abolished w.e.f _,1st April 1974,37:
"In order to ascertain whether an autonomous body is fully funded by the Central Govt or not, a letter to this effect shall be obtained from ___",Head of such undertaking/Head of Finance dept. of such undertaking,38:
True/False Readjustment of cost is necessary when works already constructed or land purchased are transferred free of charge to local bodies.,False. No readjustment is required,39:
The conditions under which one dept of public service may raise debits against another dept under the same govt or any dept under another govt for service rendered or goods supplied are regulated by the provisions contained in ____,Chapter 4 of GAR 1990,40:
"The percentage charges on account of Est related to works done for other Govt, Local Bodies, Private parties is treated as __",Revenue Receipt,41:
Inter-departmental transactions on account of supplies made or services rendered to Cabinet Secretariat and MoD has to be settled in ____,Cash (Cheque/DD) CSSA,42:
Major head 8670 pertains to ___,Cheques and Bills,43:
"If a supplying division has made an excess payment over and above the advance payment made by indenting division for supply of goods or services, the excess amount will be claimed by operating on the suspend head named ___",CSSA,44:
"Any discrepancy noticed in PAO during check of requisite vouchers related to advance payment for supply of goods or services from other division, it shall be notified to ___",Both originating and responding Divisions,45:
"In case of material is purchased by placing indent to DGS&D, the payment is made by __to ___",PAO of indenting division to PAO (Supply),46:
