question,answer,srno
"For payments chargeable to the accounts of other divisions, Departments of Government, or of non-Government works, and repayments of deposits, a Divisional Officer does not necessarily require any specific provision of funds within the appropriations for his own division. It is sufficient to see that such payments are made only in accordance with the rules in the relevant Chapters of this Code.",,01:
"An Object head is termed as unit of appropriation. Such as Salary, Stationery etc.",,02:
"Details of object heads are enunciated in Rule 8 of the Delegation of Financial Power Rules, 1978",,03:
"Re-appropriation of funds from the primary unit of appropriation to another may be sanctioned by a Competent Authority at any time before the close of the Financial year to which such grants or appropriation relates subject to the provision of Rule 10 of Delegation of Financial Power Rules, 1978",,04:
All cases of re-appropriation involving savings of more than Rs. 10 lakhs for the plan heads relating to a Ministry / Department as a whole would have to be referred to the Ministry of Finance for a decision giving detailed justification in support of the proposal.,,05:
Divisional Officer is ultimately responsible for keeping the expenditure within the allotments for the division.,,06:
The Head of the Department and the Pay and Accounts Officer shall be jointly responsible for the reconciliation of the figures given in the accounts maintained by the Head of Department with those appearing in the Accounts Officerâ€™s books.,,07:
"The reconciliation according to the procedure detailed in the General Financial Rules shall be made monthly, the initial responsibility resting with the Pay and Accounts Officer.",,08:
"Liabilities may be divided into four clauses (i) those outstanding in the suspense account, relating to contractors and labourers, in the accounts of works (ii) those outstanding in any of the regular suspense accounts of the division (iii) outstanding debts adjustable by book transfer, and (iv) matured claims of contractors, suppliers, etc. awaiting settlement and all unmatured claims, the recurring or non-recurring likely to fall due for settlement before close of the year.",,09:
Anticipated credits (if any) which will ultimately be taken in reduction of the expenditure chargeable against any individual or lump sum appropriation should also be taken into account.,,10:
"All liabilities and assets of the division adjustable by transfer credit or debit to remittance heads of accounts should be registered in Form 57, Register of Transfer Awaited, as soon as they become known.",,11:
