question,answer,srno
The general banking business of the Government carried out by the RBI includes,"The receipt, collection, payment and remittance of moneys on behalf of the Government",01:
"Each office or branch of the RBI or bank handling transactions of the Ministries, Departments of the Central Government shall maintain",separate accounts in respect of each Ministry and Department banking with it,02:
Branch of bank render an account of the transactions to,Respective PAO,03:
The ministry/department transaction of which shall be classified separately from Central Transactions are,"Railways, Defence, Post and Telecommunication.",04:
The transactions of Railways taking place in designated bank shall be classified,Each Railways wise,05:
The transactions of Defence taking place in designated bank shall be classified,each Controller of Defence Accounts,06:
"Detail of transactions together with the requisite challans, paid cheques pertaining to each to each Ministry/department that is submitted to PAO concerned is",Daily scroll,07:
"CAS Nagpur is responsible for keeping a complete account, of receipt and payments on account of the Central Government. including inter-Governmental adjustments and adjustments inter se of Defence, Railways and Postsâ€”other than",Telecommunications,08:
Transactions of UTs which are included in the balances against the balance of Departmentalised Ministries,UTs of Delhi and Andaman and Nicobars,09:
Balances in respect of Union Territory Administrations dealt with by Accountants General and of all Union Territory Governments with Legislature is included in the balances of,Central Government Account Balance,10:
"transactions appearing in the books of an Accounts Officer in a Ministry /Department of the Central Government (including Railway, Defence, Posts and Telecommunications) which are adjustable in the books of an Accounts Officer of another Ministry/Department shall be adjusted by",Cheque or Bank draft,11:
Settlement of Income Tax recoveries made from staff salary bills of Railways through,"Book adjustment through Central Accounts Section, RBI Nagpur",12:
"Settlement of payments against supplies arranged by the Directorate General of Supplies and Disposals in the Department of Supply; in the Ministry of Commerce on behalf of Railway, Defence and Posts.","Book adjustment through Central Accounts Section, RBI Nagpur",13:
"Dividend payable in lieu of tax on Railway Passenger Fares, by Railways to Central Revenues.","Book adjustment through Central Accounts Section, RBI Nagpur",14:
Loans from General Revenues to Railways and recovery of interest on loans and advances to Railways.,"Book adjustment through Central Accounts Section, RBI Nagpur",15:
"Debts on account of supplies transactions arising in the books of the Chief Accounts Officer, High Commission of India, London and Indian Embassy, Washington with the Defence, Railways and Posts which appear, initially, in the books of the Principal Accounts Officer, Ministry of External Affairs.","Book adjustment through Central Accounts Section, RBI Nagpur",16:
"A statement of the closing balance of the Central Government shall be sent each month, by the Central Accounts Section of the Reserve Bank to the","Controller General of Accounts,",17:
