question,answer,srno
"The cost at which charges for hiring out the fixed assets to be recovered from the local bodies, contractors and others should be calculated",Historical cost,01:
A physical verification of all the fixed assets should be undertaken at least once in,A year,02:
A physical verification of all the consumable goods and materials should be undertaken at least once in,A year,03:
Complete physical verification of books should be done every year in case of libraries having books,Not more than 20000,04:
Complete physical verification for libraries having more than 20000 volumes and up-to 50000 volumes shall be conducted,at least once in 3 years.,05:
physical verification for libraries having more than 50000 volumes shall be conducted,Sample verification at least once in 3 years.,06:
Reasonable loss in case of a library is,5 books/1000 books issued/consulted in a year,07:
Loss of library book shall invariably be investigated and appropriate action taken where loss,"of a book of a value exceeding â‚¹ 1,000/- and rare books irrespective of value",08:
A material should generally be considered as surplus if,It remains in stock for over a year.,09:
"while disposing of the surplus goods, value and prices that should be worked out are","Book value, Guiding Price and Reserved Price.",10:
"The original purchase price of the goods in question may be utilised, where","it is not possible to work out the book value,",11:
The mode of disposal will be determined by the competent authority for surplus or obsolete or unserviceable goods with residual value,Up-to â‚¹ 2 lakh,12:
The mode of disposal will be either through advertised tender or public auction Where the residue value of surplus or obsolete or unserviceable goods is,Above â‚¹ 2 lakh,13:
Bid security in case of disposal of surplus or obsolete or unserviceable goods through advertised tender should be,10% of reserved price,14:
"If the price offered by highest bidder is not acceptable, negotiation may be held",only with that bidder,15:
"Where the negotiation with the highest bidder does not provide the desired result,",the reasonable or acceptable price may be counter offered to the next highest responsive bidder(s).,16:
"In case the total quantity to be disposed of cannot be taken up by the highest acceptable bidder, the remaining quantity may be offered to the",next higher bidder(s) at the price offered by the highest acceptable bidder.,17:
"Full payment, i.e. the residual amount after adjusting the bid security should be obtained from the successful bidder before",releasing the goods.,18:
"During disposal of surplus or obsolete or unserviceable goods through public auction, on acceptance of bid the earnest money should be taken is",25% of bid value.,19:
The composition of the auction team decided by the competent authority will include an officer of,the Internal Finance Wing of the department,20:
"If a Ministry/Department is unable to sell any surplus or obsolete or unserviceable item through permissible means, it may dispose of the same at its scrap value with approval of",Competent authority in consultation with finance division.,21:
"In case the Ministry/Department is unable to sell the disposable items at its scrap value, it may",adopt any other mode of disposal including destruction of the item in an eco-friendly manner.,22:
Powers to write off of losses are mentioned in,Delegation of Financial Powers Rules.,23:
The heads under which losses due to depreciation are recorded are,normal fluctuation of market prices; normal wear and tear; lack of foresight in regulating purchases; negligence after purchase.;,24:
The heads under which losses not due to depreciation are recorded are,"losses due to theft or fraud; losses due to neglect; obsolescence of stores or purchases in excess of requirements; losses due to damage; losses due to force majeure condition such as flood, fire, enemy action etc.;",25:
