question,answer,srno
subscription to a Service Provident Fund can be received only from such Government servants as are either required or permitted by the rules of the fund to subscribe to it,,01:
"In the case of contributory Provident Fund, the AG has also to examine that Government's share is properly calculated and brought to account.",,02:
The Accountant General should verify that the accounts of the funds are correct both in total and the detailed accounts of the subscribers.,,03:
Transactions arising in the accounts of one state and which are adjustable in the accounts of another are passed on to the AG concerned through settlement accounts,monthly,04:
"where transactions arise in the accounts of a State and are adjustable in the accounts of the Central Government or Vice-Versa, settlement will be effected by means of Demand Drafts supported by accounts and schedules",,05:
"In the case of Postal Insurance and Life Annuity Fund, recoveries of Premia from pay and pension bills are passed on to the","Director, Postal Life Insurance, Kolkata.",06:
"In the case of Funds not controlled by Government, the amounts tendered by subscribers should be accepted without check or examination, the subscriber alone being responsible for making proper deductions.",,07:
The AG should furnish the details of recoveries from each subscriber in a monthly certified list to the authorities of the Fund and to the Accounts Officer in whose books the recoveries are adjustable.,,08:
The list should be sent not later than the date prescribed for the date of despatch of Settlement Account pertaining to the month to which the recoveries included in the list relates.,,09:
"Subscriptions should be shown in two columns in the list namely, for ""Widows Branch"" and ""Life Insurance Branch"" and the totals of the two columns should be passed on to PAO, Department of Economic Affairs, New Delhi.","Bombay Family Pension (MH-8011, Minor head-102)",10:
"AG on receiving from the authorities of Hindu Family Annuity Fund a certified copy of the letter of application of an intending subscriber stating that I am fully aware that the Government exercises no supervision over the management of the Fund, and is in no way responsible for its solvency may authorise Treasury officer concerned to accept the subscription on this accounts","Hindu Family Annuity Fund (MH-8011, Minor head-102)",11:
Subscriptions from those admitted to the fund after 31-8-56 are being recovered in cash in all cases.,Including Govt. servant/Pensioners,12:
As no interest is allowed for the month of payment on cash subscriptions received after the,4th of the month,13:
"Premium and subscription are paid either in cash or by deduction from pay or pension bills, but all cash receipts take place at the","Post Offices only, and not treasuries.",14:
The AG have accordingly only to deal with the deductions from pay or pension bills.,,15:
Government Provident Funds within the meaning of the,"PF Act, 1925",16:
