question,answer,srno
Divisional Accountant is responsible for examining the Accounts Returns of Sub Divisional Officers,,02:
"It is not necessary that the Divisional Accountant should check personally the arithmetical accuracy of all vouchers and accounts, but he is responsible to ensure that a cent per cent check is exercised efficiently under his supervision.",,03:
"The Divisional Accountant should exercise a similar check from day to day, upon- (i) the transactions recorded direct in the accounts of the Divisional Office; and (ii) bills and vouchers of Sub Divisions, which are submitted to the Divisional Officer for approval before payment is made by the Sub Divisional Officer; in respect of charges this examination should be conducted before the payment is made.",,04:
The cash and stock accounts of the entire division as also all transfer transactions should be scrutinised by the Divisional Accountant before they are included in the monthly Account and connected registers and schedules.,,05:
The Divisional Accountant should bring to the Divisional Officer's notice all instances in which subordinate officers exceed the financial limitations on their powers placed by the Divisional Officer or higher authority.,,06:
"If the Divisional Officer is allowed a lump sum provision for expenditure on a group of works, and he has made out of it allotments for individual works, expenditure should be watched against individual allotmentand excesses brought to the Divisional Officer's notice.",,07:
The Divisional Accountant must also conduct detailed check of muster rolls and petty vouchers which are not submitted to the Accountant General's office.,,08:
The Divisional Accountant should conduct personally a test check of the computed and checked tenders sufficient to satisfy himself reasonably that the checking work has been properly done and the comparative statement correctly incorporates the totals as checked on the individual tenders.,,09:
"It is the duty of Divisional Accountant to bring any objectionable transaction the notice of the Divisional Officer with a statement of his reasons, and to obtain the orders of Divisional officer.",,10:
It will then be his duty to comply with the orders of the Divisional Officer,,11:
"If objection of the Divisional Accountant has been overruled and is not satisfied with the decision, he should at the same time make a brief note of the case in the Register of Divisional Accountant's Objections (Form 23)",,12:
Divisional Officer may either accept the Divisional Accountant's advice on reconsideration and order for appropriate action accordingly or record his reason for disregarding that advice for the information of the Accountant General.,,13:
"An objection entered in this register (Form 23) should not be considered as finally disposed of until it has been reviewed by the Accountant General, for whose inspection the register should be available at all times.",,14:
The records of examination of accounts and vouchers received from Sub-Divisional Officers should be retained so as to be available for the Accountant General's inspection.,,15:
"The Divisional Accountant will be responsible, as far as possible, for explaining personally the defects of procedure and for imparting necessary instructions thereon to",the Sub Divisional Officers and their staff.,16:
"The Works Accounts Department should be divided into sections, each headed by a Section Officer.",,17:
The primary responsibility of checking and compiling the accounts of Public Works/Irrigation Divisions and other work connected therewith rests with the Clerk/Accountant/Sr. Accountant.,,18:
It is complete in all respects with supporting schedules and vouchers as described in the list of accounts from C.P.W.A. 83.,,19:
"figures of receipts and disbursement as shown in form C.P.W.A. 80 tally with the totals of the items concerned as appearing in various schedules, i.e. form C.P.W.A. 74, 76, 79, 77 etc.",,20:
The monthly account form C.P.W.A. 80/83 is signed by the Divisional Offices.,,21:
