question,answer,srno
No withdrawal of money may be made from the Government Account except by presentation of bill in support of relevant claim for the purpose unless otherwise authorised by,Department of Expenditure (MoF),01:
"A statement of claims against the Government containing specification of the nature and amount of the claim, either in gross or by items, and includes such a statement presented in the form of a simple receipt is called",Bill,02:
A bill becomes a voucher only when it is,receipted and stamped 'PAID,03:
Office copies of bills may be retained by each Drawing Officer except of,regular monthly pay and allowances bill,04:
Bills drawn and presented by a departmental officer to an Accounts Officer or to a cheque drawing DDO shall,themselves be duly receipted for payments.,05:
"When a person not in the Government employment, claims for payment for work done, service rendered or articles supplied, shall be submitted through",HoD or other responsible Govt. officer under whose immediate order the service was done or supply made,06:
Payments to pensioners are governed by,Central Treasury Rule (Rule 319-374 & 441),07:
Income Tax is deducted from the bill of the contractor/supplier under in accordance with provision contained in,"Section 194-C Income Tax Act, 1961",08:
Income Tax is deducted from the bill of the contractor/supplier u/s 194-C @,Individual/HUF-1% Other 2%,09:
Income Tax is deducted from the bill of the contractor/supplier u/s 194-C provided the income shall be,â‚¹ 30000 at a time or â‚¹ 1 lakh in the FY,10:
Rule of arrears claims does not apply to claims on a/c of,arrears of pensions,11:
Bill for all debt-head items should be drawn in separate forms printed in,Red ink on white paper,12:
"Where the use of a bill purely in any regional language becomes unavoidable, a brief abstract should be endorsed in English stating the amount, the name of payee and the nature of the payment under the signature of",Officer preferring the bill,13:
"Where any correction be necessary, the correct entry should be inserted after cancelling the incorrect entry neatly in",red ink,14:
Each correction or any interpolation on a bill should be authenticated by the drawing officer setting his,Full signature with date against each.,15:
The full accounts classification must be recorded on each bill by the drawing officer that shall be guided by,The Budget,16:
"Charges against two or more major heads should not be included in one bill, exception to this is",allowances of a Government servant drawn with pay,17:
"A note to the effect that the amount of the bill is below a specified amount expressed in whole rupees, which is slightly in excess of the total amount of the bill, should invariably be recorded in the body of the bill in.",Red ink,18:
A Bill Register in Form GAR 9 maintained by all Heads of Offices should be reviewed,Monthly,19:
Bill Register in Form GAR 9 shall be reviewed by,A Gazetted Officer,20:
A Bill Transit Register in Form GAR 10 maintained by all Heads of Offices should be reviewed by a Gazetted officer,Bi-weekly,21:
Bill Transit Register in Form GAR 10 is reviewed bi-weekly to,Prevent presentation of fraudulent bills,22:
no payment may be made on a bill or order signed by a clerk instead of by the Head of an Office unless,Government have expressly authorised it in the case of any specified office,23:
Signatures on a bill must always be transliterated if it is in Indian languages other than,Hindi,24:
"Unsigned bills, prepared on computer, forming sub-vouchers of the contingent bills on account of its dues against the Government may be accepted for payment if otherwise in order presented by",Indian Airlines,25:
"HoD may authorise any Gazetted Officer serving under him to sign a bill or order for him, communicating the name and specimen signature of the officer to the",Disbursing officer concerned,26:
"Where HoO authorises any Gazetted Officer serving under him to sign a bill or order for him, responsibility for the accuracy of the bill or for the disposal of the money received in payment rests with",Head of the Office,27:
"When any kind of bill is required to be prepared in duplicate or triplicate, full signature shall be appended on",Only one copy that will be sent to AO/CDDO,28:
Receipts must be stamped for all sums exceeding â‚¹,5000/-,29:
The limit of â‚¹ 5000/-up-to which a receipt is not required to be stamped should be applied to the,Net amount payable on a bill and not to the gross claim preferred.,30:
Affixing of stamp for receipt of payment outside India will be governed by,"Local laws, if any",31:
Cheque books for departmental transactions are supplied by,AO/CDDO,32:
Drawing officers of the ministry/department those shall obtain cheque books under departmental arrangement are,"Defence, Railways and Post & Telegraph",33:
