question,answer,srno
The sale and discharge of Treasury Bills are looked after by,RBI on the instruction of the Govt.,02:
Treasury bills can only be paid on maturity at the office of the bank,from which they were issued.,03:
When treasury bills are paid on the maturity it is known as,Discharge Bill,04:
"The conditions under which certificates of different denominations are issued and discharged, the maximum, limits of investment, the interest which accrues on them, and other matters connected there-with are regulated by special instructions issued by",the Central Government.,05:
The responsibility for making necessary deductions regularly and correctly on account of subscription to the Provident Fund rests with,The drawer of the bill,06:
The mode through which premia or subscriptions to the Post Office Insurance Fund may be paid by means of,Deduction from pay bill or cash at post office.,07:
"When a subscriber to the Post Office Insurance exits the policy, the reason of exit should be written in the schedule and notified to the","Accounts Officer concerned as well as to Director (PLI), Kolkata",08:
"If the leave salary of a subscriber has not been drawn or the official is on leave without pay, the name of the official in schedule of PLI subscription in Form GAR 40 should",be included without any recovery but a suitable remarks.,09:
"When a subscriber to any Fund whose subscriptions are realised by deduction from pay bill is transferred from one office to another, the details of fund and amount of subscription and repayment should be noted in the",LPC (Last Pay Certificate),10:
"The payment for withdrawal/advance from the PF may be made by an 'Account Payee' cheque drawn in his favour if so desired by the subscriber including a non-gazetted subscriber, where the amount involved is",Exceeding ₹ 250/-,11:
Withdrawals from Provident Fund by officers and staff serving abroad may be remitted by bank drafts for the purpose of,payment of Insurance premium in India,12:
Provident Fund Accounts of Government Servants other than Group D are maintained by,Accounts Officer Group D-Head of Office,13:
"Before a Government servant who is a subscriber to PF, retires he/she should submit an application to his Accounts Officer through HoD/DDO in advance of",One year from the date of retirement.,14:
"In the event of retirement of a Government servant subscriber to PF, the Accounts Office issue a ""pre-closing statement of account"" in advance of",At-least 10 weeks of the retirement.,15:
"The DDO shall prefer, irrespective of whether he has received the said ""pre-closing statement of account"" from the Accounts Officer or not, a bill in Form GAR 42 so as to reach the Accounts Officer",one month in advance of the retirement of Government Servant concerned.,16:
The payment of additional amount payable under the Provident Fund Deposit Linked Insurance Scheme on the death of a subscriber shall be authorised by,the authority competent to make final payment of provident fund,17:
Amounts payable under the Central Government Employees Insurance Scheme 1977 shall be authorised to the Government servant or the deceased employee's nominee by,Head of Office. Bill in GAR 42 should be submitted to the AO.,18:
"In the absence of valid nomination, the insurance amount payable under the scheme shall be",disbursed in equal shares among all the legal heirs,19:
Withdrawals from the Public Account against sums credited by way of subscriptions or of interest that is allowed by the Government shall be with the orders of,Min./Department concerned in consultation with the CGA,20:
Categories into which deposits received in Government accounts are classified are,Two (Interest Bearing Deposit and Non-interest Bearing Deposit),21:
Deposits are located in Public Account under Sector,K,22:
No money is to be credited as a deposit except under the formal order of a,Court or other competent authority.,23:
Jewels or other property duly stated with the value in monetary term received for custody and restoration in kind may,Not be brought to the deposit account.,24:
"Government Promissory Notes or other security deposits received must, on no account, be credited as deposits",TRUE,25:
"Where an appeal is pending in Court of Law, the fine received should be placed",In the concerned revenue head and not deposit.,26:
The net sale proceeds of unclaimed impounded cattle may be kept in deposit for a period of,3 months. If remained unclaimed then lapses and credited to revenue.,27:
The unclaimed property with Police shall,not be sold at once but kept for 6 months,28:
The sale proceeds of unclaimed property with Police shall be,Credited to Govt. account at once,29:
"In the case of property left by persons dying intestate and without heirs, the same will be secured and held by Civil Court for the period",As prescribed by the local laws.,30:
The unclaimed property of perishable nature and property should be sold at once whose value is,Less than ₹ 10/-,31:
The unclaimed property of perishable nature and property whose value exceeds ₹ 10 may also be sold at once on account of,because it cannot be kept or it be sold for the benefit of the owner,32:
The sale proceeds of unclaimed perishable property shall be kept in deposit for a period of,6 months,33:
The Police Department should have no deposits except,security and earnest money deposits,34:
Receipt of security and earnest money deposits by Police Department is credited to Government accounts under the Major Head,8443-Civil Deposit,35:
"Unclaimed property found by or delivered to a police officer, should be",Handed over to Magistrate.,36:
Sale proceeds of old stores or other Government property should be credited to,Government Account (concerned revenue head),37:
Part payment for refund of earnest money deposited may,Not be made under any circumstance.,38:
Amount lying unclaimed in deposit shall be lapsed to Government and credited to Government account under Consolidated Fund provided,"As on 31st March, (i) Amount not exceeding ₹ 25/-is unclaimed for one complete account year and j(ii) Amount in excess of ₹ 25/- unclaimed for more than three complete account years",39:
"Unclaimed Deposits pertaining to contracts, supply orders which are under litigation or arbitration shall",not be deemed as “unclaimed deposits” for the purpose of crediting to Government,40:
Payment of lapsed deposit is made on form,GAR 46 (payment after pre-check by AO),41:
"If the refund of lapsed deposit is made after the Register of Receipts has been destroyed, the responsibility for verifying the claimant's title to the refund shall devolve on",the authority who signs the Form GAR 46,42:
A personal deposit Account in Defence can be opened in favour of,Officer Commanding and others concerned with the public/regimental fund.,43:
A Personal Deposit Account for administering moneys tendered by or on behalf of ward and attached estates and estates under Government management may be opened in favour of,Administrator appointed for the purpose.,44:
"Types of Personal Deposit Account in which balances do not lapse to Government, even if outstanding for more than three complete account years are",(i) ward and attached estate/Govt. estate (ii) Commanding officer/other in Defence,45:
Balance in PDA opened in favour of Chief Judicial authority concerned shall be lapsed to Government on the basis of,Individual deposit and not as a whole.,46:
"Where a personal deposit account is required to be created by a law or rules having the force of law, balance unclaimed shall",Not lapse until the provisions of the relevant Act are in force.,47:
"Personal deposit account the balance under which is not to be lapsed and not operated upon for a considerable period and there is reason to believe that the need for the deposit account has ceased, he same should be closed in consultation with",the officer in whose favour the deposit account has been opened.,48:
"If the exact amount of the fees and the distribution of shares between the Govt. and Govt. servant are known before hand,",the share due to the Govt. should be credited as misc. receipt of the department concerned and the rest should be collected by the Govt servant himself.,49:
"If the exact amount of the fees and the distribution of shares between the Govt. and Govt. servant are not known or only approximately known before hand,",Full receipt to deposit head at first. Govt. share shall be credited to Misc. revenue and Govt. servant’s share shall be met from deposit head amount.,50:
"Where a Government servant undertakes the work as a part of his official duties although in view of the extra work involved and in consideration of the fees realised he is remunerated by a share out of these receipts, the fees realised",are credited to Govt. revenue as departmental receipt and disbursements of the share to the Govt. servant as departmental expenditure.,51:
In Government transaction fraction of 50 paise and above to be rounded off to the next higher rupee and fraction of less than 50 paise to be ignored exception to this where a fraction of rupee is always rounded off to next higher rupee,(i) Emoluments fixed by law (ii)Pension/Relief on Pension/ DCRG/ Commuted value of Pension,52:
