papercode,section,bookname,chapter,quizefile,displayfield,quizefile_old,author
PC02,Section II : General Financial Rules,GFR 2017,Chapter 01,mcqs_pc02_grf2017_ch01,GFR 2017: Chapter 01,pc08_grf2017_ch01,"Deepak Kumar Rahi
AAO (LAD, Patna, Bihar)"
PC02,Section II : General Financial Rules,GFR 2017,Chapter 02,mcqs_pc02_grf2017_ch02,GFR 2017: Chapter 02,pc08_grf2017_ch02,"Deepak Kumar Rahi
AAO (LAD, Patna, Bihar)"
PC02,Section II : General Financial Rules,GFR 2017,Chapter 03,mcqs_pc02_grf2017_ch03,GFR 2017: Chapter 03,pc08_grf2017_ch03,"Deepak Kumar Rahi
AAO (LAD, Patna, Bihar)"
PC02,Section II : General Financial Rules,GFR 2017,Chapter 04,mcqs_pc02_grf2017_ch04,GFR 2017: Chapter 04,pc08_grf2017_ch04,"Deepak Kumar Rahi
AAO (LAD, Patna, Bihar)"
PC02,Section II : General Financial Rules,GFR 2017,Chapter 05,mcqs_pc02_grf2017_ch05,GFR 2017: Chapter 05,pc08_grf2017_ch05,"Deepak Kumar Rahi
AAO (LAD, Patna, Bihar)"
PC02,Section II : General Financial Rules,GFR 2017,Chapter 07,mcqs_pc02_grf2017_ch07,GFR 2017: Chapter 07,pc08_grf2017_ch07,"Deepak Kumar Rahi
AAO (LAD, Patna, Bihar)"
PC02,Section II : General Financial Rules,GFR 2017,Chapter 09,mcqs_pc02_grf2017_ch09,GFR 2017: Chapter 09,pc08_grf2017_ch09,"Deepak Kumar Rahi
AAO (LAD, Patna, Bihar)"
PC02,Section II : General Financial Rules,GFR 2017,Chapter 10,mcqs_pc02_grf2017_ch10,GFR 2017: Chapter 10,pc08_grf2017_ch10,"Deepak Kumar Rahi
AAO (LAD, Patna, Bihar)"
PC02,Section II : General Financial Rules,GFR 2017,Chapter 11,mcqs_pc02_grf2017_ch11,GFR 2017: Chapter 11,pc08_grf2017_ch11,"Deepak Kumar Rahi
AAO (LAD, Patna, Bihar)"
PC02,Section II : General Financial Rules,GFR 2017,Chapter 12,mcqs_pc02_grf2017_ch12,GFR 2017: Chapter 12,pc08_grf2017_ch12,"Deepak Kumar Rahi
AAO (LAD, Patna, Bihar)"
PC02,Section II : General Financial Rules,R&P 1983,Part 1,mcqs_pc02_rp1983_p1,R&P 1983: Part 1,pc08_rp1983_p1,"Deepak Kumar Rahi
AAO (LAD, Patna, Bihar)"
PC02,Section II : General Financial Rules,R&P 1983,Part 2,mcqs_pc02_rp1983_p2,R&P 1983: Part 2,pc08_rp1983_p2,"Deepak Kumar Rahi
AAO (LAD, Patna, Bihar)"
PC02,Section II : General Financial Rules,R&P 1983,Part 3 Sect 1,mcqs_pc02_rp1983_p3s1,R&P 1983: Part 3 Sect 1,pc08_rp1983_p3s1,"Deepak Kumar Rahi
AAO (LAD, Patna, Bihar)"
PC02,Section II : General Financial Rules,R&P 1983,Part 3 Sect 2,mcqs_pc02_rp1983_p3s2,R&P 1983: Part 3 Sect 2,pc08_rp1983_p3s2,"Deepak Kumar Rahi
AAO (LAD, Patna, Bihar)"
PC02,Section II : General Financial Rules,R&P 1983,Part 3 Sect 3,mcqs_pc02_rp1983_p3s3,R&P 1983: Part 3 Sect 3,pc08_rp1983_p3s3,"Deepak Kumar Rahi
AAO (LAD, Patna, Bihar)"
PC02,Section II : General Financial Rules,R&P 1983,Part 3 Sect 4,mcqs_pc02_rp1983_p3s4,R&P 1983: Part 3 Sect 4,pc08_rp1983_p3s4,"Deepak Kumar Rahi
AAO (LAD, Patna, Bihar)"
PC02,Section II : General Financial Rules,R&P 1983,Part 4,mcqs_pc02_rp1983_p4,R&P 1983: Part 4,pc08_rp1983_p4,"Deepak Kumar Rahi
AAO (LAD, Patna, Bihar)"
PC02,Section III : Civil Accounts,GAR 1990,Chapter 02,mcqs_pc02_gar1990_ch02,GAR 1990: Chapter 02,pc08_gar1990_ch02,"Deepak Kumar Rahi
AAO (LAD, Patna, Bihar)"
PC02,Section III : Civil Accounts,Acct. Code for AG,All Chpaters,mcqs_pc02_ac4ag,Acct. Code for AG: All Chpaters,pc21_ac4ag,"Deepak Kumar Rahi
AAO (LAD, Patna, Bihar)"
PC02,Section III : Civil Accounts,CAM ,Relevant Chapters,mcqs_pc02_cam,CAM : Relevant Chapters,pc21_cam,"Deepak Kumar Rahi
AAO (LAD, Patna, Bihar)"
PC02,Section III : Civil Accounts,CPWA Code,Chapter 02,mcqs_pc02_cpwa_ch02,CPWA Code: Chapter 02,pc16_cpwa_ch02,"Deepak Kumar Rahi
AAO (LAD, Patna, Bihar)"
PC02,Section III : Civil Accounts,CPWA Code,Chapter 03,mcqs_pc02_cpwa_ch03,CPWA Code: Chapter 03,pc16_cpwa_ch03,"Deepak Kumar Rahi
AAO (LAD, Patna, Bihar)"
PC02,Section III : Civil Accounts,CPWA Code,Chapter 04,mcqs_pc02_cpwa_ch04,CPWA Code: Chapter 04,pc16_cpwa_ch04,"Deepak Kumar Rahi
AAO (LAD, Patna, Bihar)"
PC02,Section III : Civil Accounts,CPWA Code,Chapter 05,mcqs_pc02_cpwa_ch05,CPWA Code: Chapter 05,pc16_cpwa_ch05,"Deepak Kumar Rahi
AAO (LAD, Patna, Bihar)"
PC02,Section III : Civil Accounts,CPWA Code,Chapter 06,mcqs_pc02_cpwa_ch06,CPWA Code: Chapter 06,pc16_cpwa_ch06,"Deepak Kumar Rahi
AAO (LAD, Patna, Bihar)"
PC02,Section III : Civil Accounts,CPWA Code,Chapter 07,mcqs_pc02_cpwa_ch07,CPWA Code: Chapter 07,pc16_cpwa_ch07,"Deepak Kumar Rahi
AAO (LAD, Patna, Bihar)"
PC02,Section III : Civil Accounts,CPWA Code,Chapter 08,mcqs_pc02_cpwa_ch08,CPWA Code: Chapter 08,pc16_cpwa_ch08,"Deepak Kumar Rahi
AAO (LAD, Patna, Bihar)"
PC02,Section III : Civil Accounts,CPWA Code,Chapter 09,mcqs_pc02_cpwa_ch09,CPWA Code: Chapter 09,pc16_cpwa_ch09,"Deepak Kumar Rahi
AAO (LAD, Patna, Bihar)"
PC02,Section III : Civil Accounts,CPWA Code,Chapter 10,mcqs_pc02_cpwa_ch10,CPWA Code: Chapter 10,pc16_cpwa_ch10,"Deepak Kumar Rahi
AAO (LAD, Patna, Bihar)"
PC02,Section III : Civil Accounts,CPWA Code,Chapter 11,mcqs_pc02_cpwa_ch11,CPWA Code: Chapter 11,pc16_cpwa_ch11,"Deepak Kumar Rahi
AAO (LAD, Patna, Bihar)"
PC02,Section III : Civil Accounts,CPWA Code,Chapter 12,mcqs_pc02_cpwa_ch12,CPWA Code: Chapter 12,pc16_cpwa_ch12,"Deepak Kumar Rahi
AAO (LAD, Patna, Bihar)"
PC02,Section III : Civil Accounts,CPWA Code,Chapter 13,mcqs_pc02_cpwa_ch13,CPWA Code: Chapter 13,pc16_cpwa_ch13,"Deepak Kumar Rahi
AAO (LAD, Patna, Bihar)"
PC02,Section III : Civil Accounts,CPWA Code,Chapter 13 to 21,mcqs_pc02_cpwa_ch13to21,CPWA Code: Chapter 13 to 21,pc16_cpwa_ch13to21,"Deepak Kumar Rahi
AAO (LAD, Patna, Bihar)"
PC02,Section III : Civil Accounts,CPWA Code,Chapter 22,mcqs_pc02_cpwa_ch22,CPWA Code: Chapter 22,pc16_cpwa_ch22,"Deepak Kumar Rahi
AAO (LAD, Patna, Bihar)"
PC02,Section III : Civil Accounts,CPWA Code,Appendix 02,mcqs_pc02_cpwa_apd02,CPWA Code: Appendix 02,pc16_cpwa_apd02,"Deepak Kumar Rahi
AAO (LAD, Patna, Bihar)"
PC02,Section III : Civil Accounts,CPWA Code,Appendix 03,mcqs_pc02_cpwa_apd03,CPWA Code: Appendix 03,pc16_cpwa_apd03,"Deepak Kumar Rahi
AAO (LAD, Patna, Bihar)"
PC02,Section III : Civil Accounts,CPWA Code,Appendix 04,mcqs_pc02_cpwa_apd04,CPWA Code: Appendix 04,pc16_cpwa_apd04,"Deepak Kumar Rahi
AAO (LAD, Patna, Bihar)"
PC02,Section III : Civil Accounts,CPWA Code,Appendix 06,mcqs_pc02_cpwa_apd06,CPWA Code: Appendix 06,pc16_cpwa_apd06,"Deepak Kumar Rahi
AAO (LAD, Patna, Bihar)"
PC02,Section III : Civil Accounts,CPWA Code,Appendix 07,mcqs_pc02_cpwa_apd07,CPWA Code: Appendix 07,pc16_cpwa_apd07,"Deepak Kumar Rahi
AAO (LAD, Patna, Bihar)"
PC02,Section III : Civil Accounts,CPWA Code,Appendix 07C,mcqs_pc02_cpwa_apd07c,CPWA Code: Appendix 07C,pc16_cpwa_apd07c,"Deepak Kumar Rahi
AAO (LAD, Patna, Bihar)"
PC02,Section III : Civil Accounts,MSO A&E V1,Chapter 08 & 09,mcqs_pc02_mso_ae01_ch0809,MSO A&E V1: Chapter 08 & 09,pc16_mso_ae01_ch0809,"Deepak Kumar Rahi
AAO (LAD, Patna, Bihar)"
