papercode,section,bookname,chapter,quizefile,displayfield,quizefile_old,author
PC02,Section II : General Financial Rules,GFR 2017,Chapter 01,pointers_pc_04_gfr2017_ch01,GFR 2017: Chapter 01,pointers_pc08_gfr2017_ch01,"Deepak Kumar Rahi
AAO (LAD, Patna, Bihar)"
PC02,Section II : General Financial Rules,GFR 2017,Chapter 02,pointers_pc_04_gfr2017_ch02,GFR 2017: Chapter 02,pointers_pc08_gfr2017_ch02,"Deepak Kumar Rahi
AAO (LAD, Patna, Bihar)"
PC02,Section II : General Financial Rules,GFR 2017,Chapter 03,pointers_pc_04_gfr2017_ch03,GFR 2017: Chapter 03,pointers_pc08_gfr2017_ch03,"Deepak Kumar Rahi
AAO (LAD, Patna, Bihar)"
PC02,Section II : General Financial Rules,GFR 2017,Chapter 04,pointers_pc_04_gfr2017_ch04,GFR 2017: Chapter 04,pointers_pc08_gfr2017_ch04,"Deepak Kumar Rahi
AAO (LAD, Patna, Bihar)"
PC02,Section II : General Financial Rules,GFR 2017,Chapter 05,pointers_pc_04_gfr2017_ch05,GFR 2017: Chapter 05,pointers_pc08_gfr2017_ch05,"Deepak Kumar Rahi
AAO (LAD, Patna, Bihar)"
PC02,Section II : General Financial Rules,GFR 2017,Chapter 07,pointers_pc_04_gfr2017_ch07,GFR 2017: Chapter 07,pointers_pc08_gfr2017_ch07,"Deepak Kumar Rahi
AAO (LAD, Patna, Bihar)"
PC02,Section II : General Financial Rules,GFR 2017,Chapter 09,pointers_pc_04_gfr2017_ch09,GFR 2017: Chapter 09,pointers_pc08_gfr2017_ch09,"Deepak Kumar Rahi
AAO (LAD, Patna, Bihar)"
PC02,Section II : General Financial Rules,GFR 2017,Chapter 10,pointers_pc_04_gfr2017_ch10,GFR 2017: Chapter 10,pointers_pc08_gfr2017_ch10,"Deepak Kumar Rahi
AAO (LAD, Patna, Bihar)"
PC02,Section II : General Financial Rules,GFR 2017,Chapter 11,pointers_pc_04_gfr2017_ch11,GFR 2017: Chapter 11,pointers_pc08_gfr2017_ch11,"Deepak Kumar Rahi
AAO (LAD, Patna, Bihar)"
PC02,Section II : General Financial Rules,GFR 2017,Chapter 12,pointers_pc_04_gfr2017_ch12,GFR 2017: Chapter 12,pointers_pc08_gfr2017_ch12,"Deepak Kumar Rahi
AAO (LAD, Patna, Bihar)"
PC02,Section II : General Financial Rules,R&P 1983,Part 1,pointers_pc_04_rp1983_pt1,R&P 1983: Part 1,pointers_pc08_rp1983_pt1,"Deepak Kumar Rahi
AAO (LAD, Patna, Bihar)"
PC02,Section II : General Financial Rules,R&P 1983,Part 2,pointers_pc_04_rp1983_pt2,R&P 1983: Part 2,pointers_pc08_rp1983_pt2,"Deepak Kumar Rahi
AAO (LAD, Patna, Bihar)"
PC02,Section II : General Financial Rules,R&P 1983,Part 3 Sect 1,pointers_pc_04_rp1983_pt3sc1,R&P 1983: Part 3 Sect 1,pointers_pc08_rp1983_pt3sc1,"Deepak Kumar Rahi
AAO (LAD, Patna, Bihar)"
PC02,Section II : General Financial Rules,R&P 1983,Part 3 Sect 2,pointers_pc_04_rp1983_pt3sc2,R&P 1983: Part 3 Sect 2,pointers_pc08_rp1983_pt3sc2,"Deepak Kumar Rahi
AAO (LAD, Patna, Bihar)"
PC02,Section II : General Financial Rules,R&P 1983,Part 3 Sect 3,pointers_pc_04_rp1983_pt3sc3,R&P 1983: Part 3 Sect 3,pointers_pc08_rp1983_pt3sc3,"Deepak Kumar Rahi
AAO (LAD, Patna, Bihar)"
PC02,Section II : General Financial Rules,R&P 1983,Part 3 Sect 4,pointers_pc_04_rp1983_pt3sc4,R&P 1983: Part 3 Sect 4,pointers_pc08_rp1983_pt3sc4,"Deepak Kumar Rahi
AAO (LAD, Patna, Bihar)"
PC02,Section II : General Financial Rules,R&P 1983,Part 4,pointers_pc_04_rp1983_pt4,R&P 1983: Part 4,pointers_pc08_rp1983_pt4,"Deepak Kumar Rahi
AAO (LAD, Patna, Bihar)"
PC02,Section III : Civil Accounts,GAR 1990,Chapter 02,pointers_pc_04_gar1990_ch02,GAR 1990: Chapter 02,pointers_pc08_gar1990_ch02,"Deepak Kumar Rahi
AAO (LAD, Patna, Bihar)"
PC02,Section III : Civil Accounts,CPWA Code,Chapter 02,pointers_pc_04_cpwa_ch02,CPWA Code: Chapter 02,pointers_pc16_cpwa_ch02,"Deepak Kumar Rahi
AAO (LAD, Patna, Bihar)"
PC02,Section III : Civil Accounts,CPWA Code,Chapter 04,pointers_pc_04_cpwa_ch04,CPWA Code: Chapter 04,pointers_pc16_cpwa_ch04,"Deepak Kumar Rahi
AAO (LAD, Patna, Bihar)"
PC02,Section III : Civil Accounts,CPWA Code,Chapter 05,pointers_pc_04_cpwa_ch05,CPWA Code: Chapter 05,pointers_pc16_cpwa_ch05,"Deepak Kumar Rahi
AAO (LAD, Patna, Bihar)"
PC02,Section III : Civil Accounts,CPWA Code,Chapter 06,pointers_pc_04_cpwa_ch06,CPWA Code: Chapter 06,pointers_pc16_cpwa_ch06,"Deepak Kumar Rahi
AAO (LAD, Patna, Bihar)"
PC02,Section III : Civil Accounts,CPWA Code,Chapter 07,pointers_pc_04_cpwa_ch07,CPWA Code: Chapter 07,pointers_pc16_cpwa_ch07,"Deepak Kumar Rahi
AAO (LAD, Patna, Bihar)"
PC02,Section III : Civil Accounts,CPWA Code,Chapter 08,pointers_pc_04_cpwa_ch08,CPWA Code: Chapter 08,pointers_pc16_cpwa_ch08,"Deepak Kumar Rahi
AAO (LAD, Patna, Bihar)"
PC02,Section III : Civil Accounts,CPWA Code,Chapter 09,pointers_pc_04_cpwa_ch09,CPWA Code: Chapter 09,pointers_pc16_cpwa_ch09,"Deepak Kumar Rahi
AAO (LAD, Patna, Bihar)"
PC02,Section III : Civil Accounts,CPWA Code,Chapter 10,pointers_pc_04_cpwa_ch10,CPWA Code: Chapter 10,pointers_pc16_cpwa_ch10,"Deepak Kumar Rahi
AAO (LAD, Patna, Bihar)"
PC02,Section III : Civil Accounts,CPWA Code,Chapter 11,pointers_pc_04_cpwa_ch11,CPWA Code: Chapter 11,pointers_pc16_cpwa_ch11,"Deepak Kumar Rahi
AAO (LAD, Patna, Bihar)"
PC02,Section III : Civil Accounts,CPWA Code,Chapter 12,pointers_pc_04_cpwa_ch12,CPWA Code: Chapter 12,pointers_pc16_cpwa_ch12,"Deepak Kumar Rahi
AAO (LAD, Patna, Bihar)"
PC02,Section III : Civil Accounts,CPWA Code,Chapter 13,pointers_pc_04_cpwa_ch13,CPWA Code: Chapter 13,pointers_pc16_cpwa_ch13,"Deepak Kumar Rahi
AAO (LAD, Patna, Bihar)"
PC02,Section III : Civil Accounts,CPWA Code,Chapter 15,pointers_pc_04_cpwa_ch15,CPWA Code: Chapter 15,pointers_pc16_cpwa_ch15,"Deepak Kumar Rahi
AAO (LAD, Patna, Bihar)"
PC02,Section III : Civil Accounts,CPWA Code,Chapter 16,pointers_pc_04_cpwa_ch16,CPWA Code: Chapter 16,pointers_pc16_cpwa_ch16,"Deepak Kumar Rahi
AAO (LAD, Patna, Bihar)"
PC02,Section III : Civil Accounts,CPWA Code,Chapter 17,pointers_pc_04_cpwa_ch17,CPWA Code: Chapter 17,pointers_pc16_cpwa_ch17,"Deepak Kumar Rahi
AAO (LAD, Patna, Bihar)"
PC02,Section III : Civil Accounts,CPWA Code,Additional,pointers_pc_04_cpwa_additional,CPWA Code: Additional,pointers_pc16_cpwa_additional,"Deepak Kumar Rahi
AAO (LAD, Patna, Bihar)"
PC02,Section III : Civil Accounts,CPWA Code,Appendix,pointers_pc_04_cpwa_app,CPWA Code: Appendix,pointers_pc16_cpwa_app,"Deepak Kumar Rahi
AAO (LAD, Patna, Bihar)"
PC02,Section III : Civil Accounts,Acct. Code for AG,Chapter 01,pointers_pc_04_ac4ag_ch01,Acct. Code for AG: Chapter 01,pointers_pc21_ac4ag_ch01,"Deepak Kumar Rahi
AAO (LAD, Patna, Bihar)"
PC02,Section III : Civil Accounts,Acct. Code for AG,Chapter 02,pointers_pc_04_ac4ag_ch02,Acct. Code for AG: Chapter 02,pointers_pc21_ac4ag_ch02,"Deepak Kumar Rahi
AAO (LAD, Patna, Bihar)"
PC02,Section III : Civil Accounts,Acct. Code for AG,Chapter 03,pointers_pc_04_ac4ag_ch03,Acct. Code for AG: Chapter 03,pointers_pc21_ac4ag_ch03,"Deepak Kumar Rahi
AAO (LAD, Patna, Bihar)"
PC02,Section III : Civil Accounts,Acct. Code for AG,Chapter 04,pointers_pc_04_ac4ag_ch04,Acct. Code for AG: Chapter 04,pointers_pc21_ac4ag_ch04,"Deepak Kumar Rahi
AAO (LAD, Patna, Bihar)"
PC02,Section III : Civil Accounts,Acct. Code for AG,Chapter 05,pointers_pc_04_ac4ag_ch05,Acct. Code for AG: Chapter 05,pointers_pc21_ac4ag_ch05,"Deepak Kumar Rahi
AAO (LAD, Patna, Bihar)"
PC02,Section III : Civil Accounts,Acct. Code for AG,Chapter 06,pointers_pc_04_ac4ag_ch06,Acct. Code for AG: Chapter 06,pointers_pc21_ac4ag_ch06,"Deepak Kumar Rahi
AAO (LAD, Patna, Bihar)"
PC02,Section III : Civil Accounts,Acct. Code for AG,Chapter 07,pointers_pc_04_ac4ag_ch07,Acct. Code for AG: Chapter 07,pointers_pc21_ac4ag_ch07,"Deepak Kumar Rahi
AAO (LAD, Patna, Bihar)"
PC02,Section III : Civil Accounts,Acct. Code for AG,Chapter 08,pointers_pc_04_ac4ag_ch08,Acct. Code for AG: Chapter 08,pointers_pc21_ac4ag_ch08,"Deepak Kumar Rahi
AAO (LAD, Patna, Bihar)"
PC02,Section III : Civil Accounts,Acct. Code for AG,Chapter 09,pointers_pc_04_ac4ag_ch09,Acct. Code for AG: Chapter 09,pointers_pc21_ac4ag_ch09,"Deepak Kumar Rahi
AAO (LAD, Patna, Bihar)"
PC02,Section III : Civil Accounts,Acct. Code for AG,Chapter 10,pointers_pc_04_ac4ag_ch10,Acct. Code for AG: Chapter 10,pointers_pc21_ac4ag_ch10,"Deepak Kumar Rahi
AAO (LAD, Patna, Bihar)"
